Index,Ag,Au,Cu,Pd,Pt
1,26.46,40.69,3.87,15.27,13.7
2,24.33,39.08,4.89,17.35,14.36
3,24.49,37.09,6.1,19.41,12.91
4,22.46,36.36,5.88,21.28,14.01
5,21.31,34.2,6.55,24.32,13.62
6,19.42,32.89,8.12,26.62,12.95
7,19.46,31.45,7.47,28.73,12.9
8,17.35,29.42,8.19,32.33,12.72
9,14.97,27.38,9.3,35.72,12.62
10,14.2,24.77,9.89,38.41,12.73
11,12.84,22.85,10.66,41.68,11.97
12,28.73,38.87,5.16,13.43,13.8
13,27.37,37.23,6.0,14.89,14.51
14,26.21,36.59,6.25,16.33,14.62
15,23.97,35.8,6.17,19.44,14.61
16,23.19,34.84,6.53,20.68,14.76
17,21.34,33.03,7.32,24.09,14.23
18,20.49,31.33,8.08,26.4,13.69
19,18.21,29.53,8.85,29.53,13.89
20,17.31,27.96,9.57,31.51,13.66
21,16.96,25.28,10.17,34.33,13.26
22,15.01,24.31,10.57,37.21,12.9
23,13.94,21.79,11.76,39.87,12.64
24,12.94,20.46,11.28,43.03,12.28
25,31.86,37.46,5.01,10.42,15.24
26,30.43,36.91,5.27,12.49,14.89
27,28.52,36.17,5.65,14.26,15.41
28,27.56,35.22,6.27,15.92,15.02
29,26.07,33.07,6.71,18.77,15.37
30,23.81,32.61,7.51,20.55,15.51
31,22.79,31.13,7.73,22.99,15.36
32,20.62,29.7,8.65,25.64,15.38
33,19.57,28.14,8.86,28.63,14.8
34,18.63,26.0,9.96,30.58,14.84
35,16.46,24.42,11.53,33.54,14.05
36,15.06,23.05,11.27,36.37,14.24
37,14.79,20.96,11.6,39.26,13.4
38,13.35,18.91,12.93,41.35,13.46
39,11.46,17.25,12.77,45.41,13.1
40,34.22,35.74,4.9,9.89,15.24
41,32.51,35.53,4.93,11.23,15.8
42,31.36,34.61,5.74,11.66,16.63
43,29.33,33.82,6.69,14.12,16.04
44,28.19,33.11,5.98,15.93,16.8
45,26.27,32.12,7.09,17.93,16.59
46,24.22,30.35,8.84,20.2,16.38
47,23.0,30.11,8.29,22.21,16.39
48,21.9,27.09,9.22,25.17,16.62
49,20.22,26.29,10.06,26.99,16.43
50,18.83,24.07,11.32,30.14,15.64
51,16.97,22.97,11.28,33.33,15.45
52,16.48,21.22,11.95,35.02,15.35
53,14.4,19.23,12.97,38.46,14.95
54,13.33,18.36,14.1,40.0,14.21
55,12.23,16.68,13.58,43.73,13.78
56,12.27,14.64,15.07,45.43,12.59
57,37.14,34.17,4.41,8.36,15.92
58,35.94,34.05,4.49,8.98,16.53
59,33.18,33.18,5.62,10.62,17.4
60,32.63,32.63,5.51,11.86,17.37
61,30.24,31.91,6.68,14.01,17.16
62,28.95,31.08,7.03,15.36,17.58
63,26.78,30.24,7.71,17.0,18.28
64,26.34,28.41,7.43,19.94,17.87
65,24.27,27.79,8.51,21.33,18.1
66,22.74,26.09,9.54,23.55,18.07
67,21.06,24.78,10.77,25.66,17.73
68,19.48,23.94,10.67,28.7,17.2
69,17.7,21.95,11.9,31.68,16.77
70,15.95,20.66,12.42,34.8,16.17
71,14.69,18.47,14.08,36.94,15.82
72,13.31,17.2,14.12,40.02,15.35
73,12.79,15.07,15.49,42.0,14.66
74,12.64,13.26,16.17,44.25,13.68
75,10.25,12.26,16.28,47.57,13.64
