Index,Ag,Au,Pd,Pt,Ru
1,73.56,11.72,4.83,3.91,5.98
2,70.29,11.34,6.8,4.31,7.26
3,69.59,11.44,7.3,4.62,7.06
4,66.12,11.48,9.56,4.37,8.47
5,62.87,10.84,11.38,5.15,9.76
6,61.19,10.45,14.33,4.48,9.55
7,57.86,10.38,16.04,4.72,11.01
8,55.37,10.07,17.11,4.7,12.75
9,52.36,9.12,18.92,5.07,14.53
10,51.01,8.78,20.27,5.74,14.19
11,48.86,7.58,23.86,4.55,15.15
12,75.78,10.64,4.04,4.22,5.32
13,72.78,11.09,5.65,4.23,6.25
14,71.27,10.47,6.9,4.68,6.68
15,68.84,10.11,8.63,4.84,7.58
16,67.42,9.85,10.35,5.05,7.32
17,64.47,10.0,11.32,5.0,9.21
18,62.33,9.7,12.74,4.99,10.25
19,59.83,9.25,14.74,4.91,11.27
20,55.9,8.7,16.15,4.97,14.29
21,55.77,8.01,17.31,5.13,13.78
22,51.99,7.62,20.53,5.3,14.57
23,50.0,6.38,21.99,6.03,15.6
24,45.49,7.14,24.06,4.89,18.42
25,77.27,9.72,3.45,3.92,5.64
26,75.27,9.68,4.84,4.12,6.09
27,74.43,9.98,5.08,4.2,6.3
28,72.36,9.83,6.12,4.82,6.86
29,69.53,9.61,8.59,4.91,7.36
30,67.39,9.78,9.35,4.78,8.7
31,66.17,9.42,10.71,4.93,8.78
32,63.61,8.66,11.88,5.45,10.4
33,61.06,8.04,13.82,5.28,11.81
34,57.98,8.4,15.13,5.32,13.17
35,54.49,7.58,18.26,5.06,14.61
36,52.16,7.1,20.06,4.94,15.74
37,50.0,6.04,21.14,5.7,17.11
38,47.78,6.14,23.89,4.44,17.75
39,45.69,4.87,24.72,5.62,19.1
40,80.37,8.6,2.44,4.44,4.15
41,78.81,8.95,2.83,4.4,5.02
42,76.43,8.75,4.55,4.71,5.56
43,74.15,9.43,4.55,4.55,7.32
44,72.49,9.17,5.64,5.11,7.58
45,70.61,9.06,7.58,4.99,7.76
46,69.26,8.84,8.21,5.05,8.63
47,66.17,8.51,9.79,5.11,10.43
48,63.53,8.7,11.11,5.56,11.11
49,60.82,7.97,13.21,5.69,12.3
50,58.73,7.14,15.08,6.08,12.96
51,55.26,7.82,16.71,5.12,15.09
52,53.27,6.23,19.0,5.3,16.2
53,49.84,5.96,20.69,5.96,17.55
54,47.6,5.14,22.6,5.48,19.18
55,45.04,5.32,24.47,4.96,20.21
56,42.13,3.94,27.17,4.72,22.05
57,82.86,8.38,0.62,4.19,3.95
58,80.48,8.16,2.27,4.41,4.68
59,78.81,8.64,2.16,4.45,5.94
60,77.73,8.33,3.3,5.03,5.6
61,76.84,8.16,4.89,5.22,4.89
62,73.97,7.59,5.0,4.83,8.62
63,71.22,8.01,6.92,5.28,8.56
64,69.9,7.96,7.57,5.44,9.13
65,67.25,8.08,8.95,5.24,10.48
66,64.23,7.93,11.18,5.89,10.77
67,61.93,7.47,11.57,5.3,13.73
68,59.57,6.38,13.0,6.38,14.66
69,55.64,6.56,15.22,6.04,16.54
70,53.39,5.65,18.36,6.5,16.1
71,51.04,5.37,19.1,5.97,18.51
72,48.23,4.5,20.58,6.75,19.94
73,44.33,4.67,23.33,5.67,22.0
74,42.35,3.91,25.62,5.69,22.42
75,40.45,4.12,25.84,5.62,23.97
76,83.05,7.32,1.46,4.27,3.9
77,81.31,7.48,1.87,4.67,4.67
78,79.79,7.63,3.08,4.55,4.95
79,78.17,7.37,3.68,5.05,5.73
80,75.62,7.26,4.21,5.52,7.4
81,74.92,7.59,5.42,5.26,6.81
82,72.46,7.7,6.07,5.41,8.36
83,70.48,7.33,6.8,5.9,9.48
84,68.2,7.0,8.0,5.8,11.0
85,65.13,6.51,10.92,6.3,11.13
86,62.19,6.26,10.74,6.71,14.09
87,59.76,6.83,12.44,6.59,14.39
88,56.81,6.17,14.14,6.17,16.71
89,54.52,5.21,16.99,6.3,16.99
90,51.52,4.41,17.91,6.89,19.28
91,47.98,4.98,20.25,6.54,20.25
92,46.25,3.91,21.17,6.19,22.48
93,43.48,3.34,23.08,6.35,23.75
94,40.0,2.91,26.18,5.45,25.45
95,84.93,6.74,0.63,4.32,3.37
96,83.45,6.71,1.39,4.28,4.17
97,80.88,6.6,2.55,4.98,4.98
98,80.08,6.86,2.46,5.05,5.56
99,79.82,6.68,2.19,5.27,6.04
100,77.35,6.98,3.13,5.7,6.84
101,74.89,7.45,4.38,5.26,8.03
102,72.99,6.75,5.79,5.47,9.0
103,71.9,6.39,5.84,6.57,9.31
104,68.64,6.63,7.89,6.45,10.39
105,66.17,5.61,9.16,6.36,12.71
106,62.32,5.8,11.39,6.42,14.08
107,60.0,5.65,12.47,6.59,15.29
108,57.43,4.79,14.86,7.05,15.87
109,53.62,5.56,15.22,6.76,18.84
110,51.33,3.99,18.35,7.18,19.15
111,49.55,3.56,18.4,6.53,21.96
112,46.11,3.74,20.56,6.23,23.36
113,43.83,2.92,24.03,6.49,22.73
114,40.07,3.42,25.0,5.82,25.68
115,36.96,2.54,26.81,6.88,26.81
116,85.16,6.22,0.3,4.21,4.11
117,83.65,6.2,1.13,5.07,3.95
118,82.23,6.36,1.56,4.8,5.04
119,80.3,6.03,2.55,5.56,5.56
120,79.46,6.19,2.6,5.57,6.19
121,77.85,5.98,3.12,6.11,6.93
122,76.41,6.17,3.84,6.04,7.54
123,73.97,6.03,4.26,6.91,8.82
124,71.31,6.16,6.0,6.81,9.72
125,68.74,5.38,7.23,7.06,11.6
126,66.15,6.35,7.69,6.54,13.27
127,64.74,5.58,9.36,7.17,13.15
128,60.5,4.2,11.55,7.35,16.39
129,57.74,4.62,12.47,7.39,17.78
130,55.42,4.28,14.61,7.3,18.39
131,50.98,3.92,15.41,7.56,22.13
132,49.58,3.36,18.21,7.56,21.29
133,45.95,3.3,19.22,6.91,24.62
134,43.42,3.29,22.04,6.58,24.67
135,40.19,1.93,23.47,7.4,27.01
136,37.63,2.71,25.08,7.46,27.12
137,85.02,5.5,0.66,5.12,3.7
138,83.99,5.93,0.59,4.94,4.55
139,82.46,5.41,1.2,5.91,5.01
140,81.66,5.53,1.74,5.64,5.43
141,79.39,5.54,2.71,5.89,6.48
142,78.61,5.06,2.91,6.08,7.34
143,76.17,5.35,4.28,6.56,7.63
144,73.81,5.18,5.04,6.91,9.06
145,72.06,5.19,5.19,6.72,10.84
146,69.45,5.04,6.61,7.4,11.5
147,66.61,4.92,7.56,7.56,13.36
148,63.09,4.14,9.6,7.72,15.44
149,60.98,4.67,10.77,8.13,15.45
150,57.96,3.98,12.61,8.19,17.26
151,54.98,3.55,14.22,8.06,19.19
152,52.91,2.91,15.34,7.94,20.9
153,50.0,2.45,14.95,8.42,24.18
154,46.2,2.99,19.29,7.88,23.64
155,43.39,3.16,19.54,7.18,26.72
156,40.82,2.04,21.77,7.48,27.89
157,37.91,1.63,23.86,7.52,29.08
158,85.47,4.9,0.82,5.09,3.72
159,85.36,4.78,0.1,5.48,4.28
160,83.54,5.39,0.58,5.77,4.72
161,81.48,5.0,1.48,6.25,5.8
162,79.74,5.12,2.33,6.29,6.52
163,78.04,4.91,3.19,6.5,7.36
164,76.52,5.34,2.86,6.58,8.7
165,74.55,4.73,4.31,6.68,9.74
166,72.71,4.57,4.88,7.16,10.67
167,69.75,4.39,5.96,7.84,12.07
168,67.12,4.09,6.98,7.84,13.97
169,63.41,4.13,9.76,7.88,14.82
170,61.79,3.61,9.13,8.17,17.3
171,58.35,3.42,11.27,8.65,18.31
172,54.82,2.75,12.61,8.72,21.1
173,52.84,2.84,14.22,8.29,21.8
174,50.52,2.6,14.58,8.59,23.7
175,44.75,2.49,17.68,8.56,26.52
176,43.93,2.6,19.08,7.8,26.59
177,40.06,1.83,21.41,7.65,29.05
178,38.71,2.26,22.26,7.42,29.35
179,85.16,4.25,0.78,5.47,4.34
180,83.75,4.67,0.93,5.7,4.95
181,83.55,4.43,1.28,5.91,4.83
