;x;y;Ru;Pd;Ag;Pt;Au
Spektrum 1 {6};-22.67;-40.969;3.9;60.6;6.7;4.8;23.9
Spektrum 1 {7};-18.169;-40.969;4.6;63.4;4.6;4.6;22.7
Spektrum 1 {8};-13.67;-40.969;5.3;65.4;5.3;3.6;20.5
Spektrum 1 {9};-9.17;-40.969;4.7;68.6;4.3;3.9;18.5
Spektrum 1 {10};-4.67;-40.969;5.4;71.9;2.9;3.2;16.6
Spektrum 1 {11};-0.171;-40.969;5.2;73.8;3.5;3.1;14.4
Spektrum 1 {12};4.319;-40.969;5.2;76.4;2.5;2.5;13.4
Spektrum 1 {13};8.819;-40.969;5.3;78.5;2.4;2.4;11.4
Spektrum 1 {14};13.319;-40.969;5.3;80.8;1.8;2.4;9.8
Spektrum 1 {15};17.819;-40.969;5.4;81.4;2.3;2.1;8.9
Spektrum 1 {16};22.319;-40.969;5.0;82.7;2.7;1.9;7.6
Spektrum 1 {26};-27.17;-36.47;5.2;56.0;7.1;5.7;26.0
Spektrum 1 {27};-22.669;-36.47;5.4;60.5;5.9;5.1;23.1
Spektrum 1 {28};-18.17;-36.47;5.4;62.9;5.1;4.8;21.8
Spektrum 1 {29};-13.669;-36.47;6.2;64.6;5.4;4.7;19.1
Spektrum 1 {30};-9.17;-36.47;4.9;68.9;4.6;4.1;17.6
Spektrum 1 {31};-4.668;-36.47;5.3;71.4;3.4;3.5;16.3
Spektrum 1 {32};-0.169;-36.47;5.7;73.5;3.5;3.3;14.0
Spektrum 1 {33};4.318;-36.47;5.6;76.2;2.8;2.8;12.6
Spektrum 1 {34};8.819;-36.47;5.6;77.6;3.0;2.6;11.2
Spektrum 1 {35};13.318;-36.47;5.7;80.4;1.7;2.6;9.6
Spektrum 1 {36};17.819;-36.47;5.6;81.6;2.1;2.2;8.4
Spektrum 1 {37};22.32;-36.47;6.0;83.0;1.5;2.1;7.4
Spektrum 1 {38};26.82;-36.47;5.6;84.5;1.6;2.0;6.3
Spektrum 1 {46};-31.67;-31.969;5.2;54.3;8.2;5.7;26.6
Spektrum 1 {47};-27.171;-31.969;5.6;55.6;8.3;5.6;24.8
Spektrum 1 {48};-22.67;-31.969;5.9;59.3;6.7;5.2;22.9
Spektrum 1 {49};-18.171;-31.969;6.1;63.3;5.3;4.7;20.7
Spektrum 1 {50};-13.67;-31.969;6.3;65.5;5.3;4.5;18.5
Spektrum 1 {51};-9.169;-31.969;6.8;67.9;4.6;3.9;16.7
Spektrum 1 {52};-4.669;-31.969;6.4;70.8;3.3;3.7;15.7
Spektrum 1 {53};-0.169;-31.969;6.2;74.2;2.5;3.4;13.8
Spektrum 1 {54};4.318;-31.969;6.6;75.9;2.3;3.2;12.0
Spektrum 1 {55};8.819;-31.969;5.7;78.0;3.1;2.8;10.5
Spektrum 1 {56};13.32;-31.969;6.1;78.9;2.8;2.7;9.5
Spektrum 1 {57};17.819;-31.969;6.3;81.5;2.0;2.4;7.7
Spektrum 1 {58};22.32;-31.969;5.9;82.7;1.9;2.3;7.3
Spektrum 1 {59};26.819;-31.969;6.5;84.6;0.7;2.1;6.1
Spektrum 1 {60};31.32;-31.969;6.0;85.5;1.2;2.0;5.3
Spektrum 1 {66};-36.169;-27.464;5.5;50.5;9.6;7.0;27.4
Spektrum 1 {67};-31.672;-27.464;5.6;54.0;8.5;6.4;25.4
Spektrum 1 {68};-27.171;-27.464;5.9;55.9;8.2;5.9;24.3
Spektrum 1 {69};-22.669;-27.464;5.6;59.0;7.8;5.4;22.2
Spektrum 1 {70};-18.168;-27.464;6.1;62.4;6.2;5.4;19.8
Spektrum 1 {71};-13.669;-27.464;6.4;64.3;6.5;4.8;18.1
Spektrum 1 {72};-9.17;-27.464;7.0;67.7;4.5;5.1;15.8
Spektrum 1 {73};-4.669;-27.464;6.5;70.6;4.3;4.0;14.6
Spektrum 1 {74};-0.169;-27.464;5.9;73.2;4.3;3.9;12.6
Spektrum 1 {75};4.321;-27.464;6.8;75.9;2.3;3.2;11.9
Spektrum 1 {76};8.819;-27.464;6.4;77.0;3.5;3.0;10.2
Spektrum 1 {77};13.319;-27.464;6.7;79.5;2.2;3.0;8.7
Spektrum 1 {78};17.82;-27.464;6.1;80.6;2.7;2.8;7.8
Spektrum 1 {79};22.32;-27.464;6.8;81.7;2.1;2.6;6.7
Spektrum 1 {80};26.82;-27.464;6.7;83.2;2.1;2.3;5.7
Spektrum 1 {81};31.321;-27.464;6.5;84.8;1.4;2.1;5.2
Spektrum 1 {82};35.818;-27.464;6.6;86.3;0.7;2.0;4.5
Spektrum 1 {86};-40.67;-22.967;6.3;45.4;11.0;7.6;29.7
Spektrum 1 {87};-36.17;-22.967;6.3;49.8;10.2;7.0;26.7
Spektrum 1 {88};-31.669;-22.967;5.9;53.4;9.4;6.7;24.6
Spektrum 1 {89};-27.17;-22.967;6.5;55.1;8.4;6.8;23.2
Spektrum 1 {90};-22.668;-22.967;7.4;59.0;6.5;6.0;21.1
Spektrum 1 {91};-18.168;-22.967;7.4;60.9;6.2;6.0;19.5
Spektrum 1 {92};-13.67;-22.967;6.7;64.7;6.4;5.0;17.3
Spektrum 1 {93};-9.169;-22.967;6.8;68.5;4.2;4.8;15.7
Spektrum 1 {94};-4.671;-22.967;7.6;69.1;4.7;4.6;14.0
Spektrum 1 {95};-0.171;-22.967;7.0;72.0;4.3;4.6;12.1
Spektrum 1 {96};4.32;-22.967;6.9;75.3;3.1;4.0;10.7
Spektrum 1 {97};8.819;-22.967;7.2;76.4;3.1;3.4;9.9
Spektrum 1 {98};13.318;-22.967;7.3;78.7;1.9;3.3;8.7
Spektrum 1 {99};17.82;-22.967;7.4;80.1;2.1;2.9;7.4
Spektrum 1 {100};22.32;-22.967;6.9;81.7;2.4;2.8;6.2
Spektrum 1 {101};26.82;-22.967;6.8;83.6;1.4;2.2;6.0
Spektrum 1 {102};31.318;-22.967;7.1;84.2;1.8;2.3;4.7
Spektrum 1 {103};35.819;-22.967;7.1;86.0;0.7;2.0;4.3
Spektrum 1 {104};40.318;-22.967;7.1;86.2;1.5;1.6;3.7
Spektrum 1 {107};-40.671;-18.467;6.0;46.5;12.6;7.6;27.3
Spektrum 1 {108};-36.169;-18.467;6.9;49.3;10.2;8.1;25.5
Spektrum 1 {109};-31.67;-18.467;6.6;52.5;9.2;7.5;24.2
Spektrum 1 {110};-27.169;-18.467;6.6;55.9;8.4;7.1;21.9
Spektrum 1 {111};-22.669;-18.467;7.5;58.3;7.8;6.8;19.6
Spektrum 1 {112};-18.168;-18.467;7.4;61.7;6.5;6.2;18.2
Spektrum 1 {113};-13.671;-18.467;7.6;63.9;6.0;6.1;16.5
Spektrum 1 {114};-9.169;-18.467;7.5;67.6;4.3;5.5;15.1
Spektrum 1 {115};-4.668;-18.467;8.5;68.4;5.1;5.0;13.0
Spektrum 1 {116};-0.169;-18.467;7.4;72.1;4.2;4.8;11.6
Spektrum 1 {117};4.32;-18.467;7.8;73.6;4.0;4.0;10.7
Spektrum 1 {118};8.819;-18.467;7.5;76.5;2.8;3.7;9.6
Spektrum 1 {119};13.32;-18.467;8.1;78.1;2.5;3.2;8.1
Spektrum 1 {120};17.818;-18.467;7.7;80.2;1.9;3.0;7.2
Spektrum 1 {121};22.32;-18.467;7.9;80.7;2.2;3.0;6.3
Spektrum 1 {122};26.82;-18.467;8.0;82.1;2.1;2.7;5.1
Spektrum 1 {123};31.32;-18.467;7.7;83.4;1.8;2.4;4.8
Spektrum 1 {124};35.82;-18.467;7.8;84.6;1.3;2.3;4.0
Spektrum 1 {125};40.318;-18.467;7.2;85.7;1.4;2.0;3.7
Spektrum 1 {127};-45.167;-13.964;6.6;43.4;13.4;8.5;28.1
Spektrum 1 {128};-40.672;-13.964;6.7;45.8;12.1;8.7;26.8
Spektrum 1 {129};-36.17;-13.964;7.1;48.3;11.4;8.2;24.9
Spektrum 1 {130};-31.67;-13.964;6.7;52.8;9.3;7.7;23.5
Spektrum 1 {131};-27.171;-13.964;7.0;55.4;8.5;7.6;21.5
Spektrum 1 {132};-22.67;-13.964;8.4;57.7;7.5;7.5;18.9
Spektrum 1 {133};-18.168;-13.964;8.3;60.3;6.9;6.9;17.7
Spektrum 1 {134};-13.669;-13.964;8.8;63.1;5.8;6.4;15.9
Spektrum 1 {135};-9.169;-13.964;8.7;66.2;5.3;5.6;14.2
Spektrum 1 {136};-4.668;-13.964;8.5;68.6;5.0;5.1;12.8
Spektrum 1 {137};-0.168;-13.964;8.3;70.9;4.0;5.0;11.8
Spektrum 1 {138};4.319;-13.964;8.4;73.0;4.0;4.3;10.2
Spektrum 1 {139};8.819;-13.964;8.7;75.1;3.5;3.9;8.8
Spektrum 1 {140};13.319;-13.964;8.2;77.0;4.0;3.4;7.5
Spektrum 1 {141};17.819;-13.964;8.5;79.1;2.5;3.4;6.6
Spektrum 1 {142};22.32;-13.964;8.9;80.1;1.7;3.1;6.2
Spektrum 1 {143};26.819;-13.964;8.6;81.3;2.0;2.9;5.2
Spektrum 1 {144};31.32;-13.964;8.3;82.7;2.1;2.5;4.4
Spektrum 1 {145};35.819;-13.964;8.2;84.3;1.7;2.2;3.7
Spektrum 1 {146};40.319;-13.964;8.3;84.9;1.5;2.1;3.2
Spektrum 1 {148};-45.169;-9.466;7.5;42.0;13.7;9.9;26.9
Spektrum 1 {149};-40.67;-9.466;7.0;45.0;12.6;9.8;25.5
Spektrum 1 {150};-36.171;-9.466;7.4;48.5;11.5;8.5;24.1
Spektrum 1 {151};-31.671;-9.466;8.1;50.4;10.0;9.3;22.2
Spektrum 1 {152};-27.171;-9.466;8.1;53.6;9.8;7.9;20.5
Spektrum 1 {153};-22.669;-9.466;7.8;56.4;8.9;8.0;19.0
Spektrum 1 {154};-18.17;-9.466;8.7;59.4;7.7;7.4;16.7
Spektrum 1 {155};-13.669;-9.466;9.1;62.7;6.6;7.1;14.5
Spektrum 1 {156};-9.169;-9.466;8.6;65.9;5.8;6.3;13.4
Spektrum 1 {157};-4.668;-9.466;9.2;67.2;5.5;5.9;12.2
Spektrum 1 {158};-0.17;-9.466;9.2;70.1;4.5;5.0;11.2
Spektrum 1 {159};4.318;-9.466;9.6;72.2;3.9;4.9;9.3
Spektrum 1 {160};8.819;-9.466;8.3;75.0;3.4;4.7;8.6
Spektrum 1 {161};13.32;-9.466;9.3;76.0;3.1;4.0;7.6
Spektrum 1 {162};17.821;-9.466;9.4;77.7;2.7;3.9;6.4
Spektrum 1 {163};22.32;-9.466;9.4;79.1;2.2;3.5;5.8
Spektrum 1 {164};26.82;-9.466;9.1;81.4;1.5;3.1;5.0
Spektrum 1 {165};31.318;-9.466;8.9;82.6;1.5;2.7;4.3
Spektrum 1 {166};35.821;-9.466;9.0;83.2;1.6;2.5;3.7
Spektrum 1 {167};40.319;-9.466;8.6;84.7;1.1;2.3;3.2
Spektrum 1 {168};44.82;-9.466;8.9;85.6;0.5;2.3;2.7
Spektrum 1 {169};-45.167;-4.966;7.8;41.7;14.7;10.9;24.8
Spektrum 1 {170};-40.67;-4.966;8.4;44.8;12.1;10.7;24.0
Spektrum 1 {171};-36.17;-4.966;8.4;47.6;11.3;10.3;22.4
Spektrum 1 {172};-31.67;-4.966;8.6;50.4;10.2;9.6;21.3
Spektrum 1 {173};-27.171;-4.966;8.9;52.8;9.9;9.1;19.4
