;x;y;Cu;Pd;Ag;Pt;Au
Spectrum 1 {6};-22.67;-40.969;10.6;15.9;7.5;20.5;45.5
Spectrum 1 {7};-18.169;-40.969;10.3;17.1;7.4;19.7;45.4
Spectrum 1 {8};-13.67;-40.969;10.0;17.8;7.5;18.5;46.2
Spectrum 1 {9};-9.17;-40.969;9.7;18.8;9.1;17.3;45.1
Spectrum 1 {10};-4.67;-40.969;9.6;19.9;9.1;15.2;46.2
Spectrum 1 {11};-0.171;-40.969;9.7;20.4;10.2;14.8;44.9
Spectrum 1 {12};4.319;-40.969;10.7;21.2;10.0;13.8;44.4
Spectrum 1 {13};8.819;-40.969;8.9;23.5;9.7;12.8;45.1
Spectrum 1 {14};13.319;-40.969;9.6;24.0;9.4;11.9;45.0
Spectrum 1 {15};17.819;-40.969;8.1;25.1;11.3;11.4;44.0
Spectrum 1 {16};22.319;-40.969;8.6;25.6;11.1;10.6;44.2
Spectrum 1 {26};-27.17;-36.47;11.1;15.1;7.8;22.6;43.3
Spectrum 1 {27};-22.669;-36.47;10.5;16.4;8.2;20.7;44.1
Spectrum 1 {28};-18.17;-36.47;10.0;17.2;8.4;19.8;44.5
Spectrum 1 {29};-13.669;-36.47;11.4;17.9;8.5;18.3;43.8
Spectrum 1 {30};-9.17;-36.47;10.7;19.3;8.7;17.7;43.6
Spectrum 1 {31};-4.668;-36.47;10.2;20.2;9.5;16.3;43.8
Spectrum 1 {32};-0.169;-36.47;9.7;21.0;10.3;15.5;43.5
Spectrum 1 {33};4.318;-36.47;9.9;21.6;10.0;14.6;44.0
Spectrum 1 {34};8.819;-36.47;8.6;23.2;11.6;12.9;43.7
Spectrum 1 {35};13.318;-36.47;8.5;24.5;11.9;12.1;43.1
Spectrum 1 {36};17.819;-36.47;8.9;25.1;11.8;11.2;43.0
Spectrum 1 {37};22.32;-36.47;9.1;26.0;10.8;10.5;43.6
Spectrum 1 {38};26.82;-36.47;8.4;28.2;11.6;10.4;41.5
Spectrum 1 {46};-31.67;-31.969;12.0;14.5;8.5;23.9;41.1
Spectrum 1 {47};-27.171;-31.969;11.7;16.0;8.5;22.3;41.5
Spectrum 1 {48};-22.67;-31.969;11.8;16.5;9.0;21.1;41.7
Spectrum 1 {49};-18.171;-31.969;12.8;17.0;9.0;20.0;41.3
Spectrum 1 {50};-13.67;-31.969;12.2;18.6;9.0;18.5;41.7
Spectrum 1 {51};-9.169;-31.969;11.2;18.8;10.6;17.1;42.3
Spectrum 1 {52};-4.669;-31.969;11.8;19.6;10.3;16.6;41.7
Spectrum 1 {53};-0.169;-31.969;10.8;21.1;11.0;15.2;41.9
Spectrum 1 {54};4.318;-31.969;9.8;23.0;11.2;14.1;41.9
Spectrum 1 {55};8.819;-31.969;10.4;23.4;11.4;13.9;40.9
Spectrum 1 {56};13.32;-31.969;9.7;24.4;12.1;12.6;41.3
Spectrum 1 {57};17.819;-31.969;9.4;25.8;12.2;11.4;41.2
Spectrum 1 {58};22.32;-31.969;9.8;26.2;12.8;10.8;40.5
Spectrum 1 {59};26.819;-31.969;8.8;28.2;13.0;10.1;40.0
Spectrum 1 {60};31.32;-31.969;8.6;28.6;13.0;9.6;40.1
Spectrum 1 {66};-36.169;-27.464;13.7;14.1;7.2;25.0;40.0
Spectrum 1 {67};-31.672;-27.464;13.5;14.5;8.4;23.8;39.8
Spectrum 1 {68};-27.171;-27.464;13.0;15.5;8.5;23.0;40.1
Spectrum 1 {69};-22.669;-27.464;12.6;16.3;9.3;21.2;40.6
Spectrum 1 {70};-18.168;-27.464;13.4;16.8;9.8;19.5;40.5
Spectrum 1 {71};-13.669;-27.464;12.5;18.6;10.9;18.3;39.7
Spectrum 1 {72};-9.17;-27.464;12.3;19.8;10.6;17.3;40.0
Spectrum 1 {73};-4.669;-27.464;12.1;20.6;11.0;16.1;40.1
Spectrum 1 {74};-0.169;-27.464;12.0;20.7;11.4;15.4;40.4
Spectrum 1 {75};4.321;-27.464;11.6;21.8;12.6;13.9;40.0
Spectrum 1 {76};8.819;-27.464;11.2;22.8;11.9;14.1;40.0
Spectrum 1 {77};13.319;-27.464;10.5;24.4;12.9;12.6;39.5
Spectrum 1 {78};17.82;-27.464;10.1;25.1;13.7;11.5;39.6
Spectrum 1 {79};22.32;-27.464;9.7;26.8;13.2;11.3;39.0
Spectrum 1 {80};26.82;-27.464;8.4;28.5;14.2;10.1;38.9
Spectrum 1 {81};31.321;-27.464;9.1;29.6;14.0;9.6;37.7
Spectrum 1 {82};35.818;-27.464;8.6;30.2;14.7;8.9;37.6
Spectrum 1 {86};-40.67;-22.967;13.9;13.1;7.6;27.5;37.9
Spectrum 1 {87};-36.17;-22.967;13.8;14.2;8.5;25.4;38.1
Spectrum 1 {88};-31.669;-22.967;13.7;15.1;9.3;23.8;38.2
Spectrum 1 {89};-27.17;-22.967;15.2;15.6;8.9;22.3;38.0
Spectrum 1 {90};-22.668;-22.967;14.3;16.6;9.8;20.6;38.7
Spectrum 1 {91};-18.168;-22.967;14.7;17.0;10.6;19.5;38.3
Spectrum 1 {92};-13.67;-22.967;13.5;18.2;11.3;18.3;38.7
Spectrum 1 {93};-9.169;-22.967;12.8;18.9;11.2;17.8;39.3
Spectrum 1 {94};-4.671;-22.967;12.4;20.2;12.3;17.1;38.0
Spectrum 1 {95};-0.171;-22.967;11.9;21.3;12.4;15.5;39.0
Spectrum 1 {96};4.32;-22.967;11.5;21.7;13.7;14.4;38.7
Spectrum 1 {97};8.819;-22.967;11.3;23.2;13.2;14.0;38.4
Spectrum 1 {98};13.318;-22.967;10.9;24.5;14.7;12.7;37.1
Spectrum 1 {99};17.82;-22.967;10.4;25.8;14.0;11.9;37.9
Spectrum 1 {100};22.32;-22.967;10.6;26.6;14.7;10.8;37.2
Spectrum 1 {101};26.82;-22.967;9.8;27.1;14.8;10.8;37.4
Spectrum 1 {102};31.318;-22.967;9.0;28.4;16.3;9.8;36.5
