;x;y;Cu;Pd;Ag;Pt;Au
Spektrum 1 {6};-22.67;-40.969;13.1;4.8;57.8;11.4;12.8
Spektrum 1 {7};-18.169;-40.969;9.7;5.6;60.4;10.4;13.9
Spektrum 1 {8};-13.67;-40.969;10.1;5.4;62.5;9.5;12.5
Spektrum 1 {9};-9.17;-40.969;10.5;4.9;61.1;10.1;13.4
Spektrum 1 {10};-4.67;-40.969;11.1;4.8;60.8;9.0;14.2
Spektrum 1 {11};-0.171;-40.969;9.8;7.2;62.2;8.6;12.1
Spektrum 1 {12};4.319;-40.969;10.4;6.7;62.9;8.3;11.7
Spektrum 1 {13};8.819;-40.969;7.1;8.2;65.1;7.7;11.9
Spektrum 1 {14};13.319;-40.969;7.6;7.6;64.1;8.2;12.5
Spektrum 1 {15};17.819;-40.969;8.5;6.8;66.7;7.4;10.5
Spektrum 1 {16};22.319;-40.969;7.7;7.7;65.5;7.1;12.1
Spektrum 1 {26};-27.17;-36.47;11.6;4.9;57.9;13.0;12.6
Spektrum 1 {27};-22.669;-36.47;14.0;3.5;59.1;10.8;12.6
Spektrum 1 {28};-18.17;-36.47;13.0;4.8;58.4;10.8;13.0
Spektrum 1 {29};-13.669;-36.47;13.8;5.5;59.2;9.8;11.7
Spektrum 1 {30};-9.17;-36.47;10.6;5.3;63.1;10.0;10.9
Spektrum 1 {31};-4.668;-36.47;11.8;5.6;61.9;8.8;11.8
Spektrum 1 {32};-0.169;-36.47;12.3;5.8;62.7;8.1;11.1
Spektrum 1 {33};4.318;-36.47;7.8;7.0;66.2;7.8;11.1
Spektrum 1 {34};8.819;-36.47;8.0;6.6;66.5;6.6;12.2
Spektrum 1 {35};13.318;-36.47;7.3;6.5;68.2;7.0;11.0
Spektrum 1 {36};17.819;-36.47;8.4;6.9;67.2;6.7;10.7
Spektrum 1 {37};22.32;-36.47;8.2;8.2;65.8;6.6;11.2
Spektrum 1 {38};26.82;-36.47;7.8;8.3;67.3;6.0;10.6
Spektrum 1 {46};-31.67;-31.969;14.9;4.4;56.5;13.0;11.1
Spektrum 1 {47};-27.171;-31.969;15.6;2.9;58.3;11.7;11.4
Spektrum 1 {48};-22.67;-31.969;12.5;4.7;61.7;10.6;10.6
Spektrum 1 {49};-18.171;-31.969;11.0;4.0;64.7;9.0;11.3
Spektrum 1 {50};-13.67;-31.969;10.2;6.1;63.4;9.1;11.1
Spektrum 1 {51};-9.169;-31.969;12.4;6.1;62.5;9.1;9.9
Spektrum 1 {52};-4.669;-31.969;10.8;4.3;65.7;8.9;10.3
Spektrum 1 {53};-0.169;-31.969;12.9;5.0;63.2;7.7;11.2
Spektrum 1 {54};4.318;-31.969;11.0;6.0;65.7;6.5;10.7
Spektrum 1 {55};8.819;-31.969;10.7;4.7;67.2;8.4;9.1
