;x;y;Cu;Pd;Ag;Pt;Au
Spektrum 1 {6};-22.67;-40.969;5.0;3.6;4.0;8.9;78.4
Spektrum 1 {7};-18.169;-40.969;4.8;2.5;5.0;8.4;79.3
Spektrum 1 {8};-13.67;-40.969;5.4;2.9;4.2;8.8;78.6
Spektrum 1 {9};-9.17;-40.969;5.3;2.6;4.6;7.5;80.0
Spektrum 1 {10};-4.67;-40.969;5.3;3.7;4.8;7.3;79.0
Spektrum 1 {11};-0.171;-40.969;4.5;4.6;4.5;7.1;79.1
Spektrum 1 {12};4.319;-40.969;4.6;4.0;4.6;7.3;79.4
Spektrum 1 {13};8.819;-40.969;4.2;4.2;4.7;6.6;80.4
Spektrum 1 {14};13.319;-40.969;4.0;4.5;5.0;7.1;79.4
Spektrum 1 {15};17.819;-40.969;4.3;5.4;5.1;6.6;78.6
Spektrum 1 {16};22.319;-40.969;3.7;6.0;5.4;6.4;78.5
Spektrum 1 {26};-27.17;-36.47;6.3;3.3;4.2;8.7;77.4
Spektrum 1 {27};-22.669;-36.47;6.0;3.3;4.3;8.6;77.6
Spektrum 1 {28};-18.17;-36.47;6.5;3.1;4.3;8.6;77.6
Spektrum 1 {29};-13.669;-36.47;6.4;3.6;5.4;7.8;76.8
Spektrum 1 {30};-9.17;-36.47;5.4;3.5;5.4;7.9;77.7
Spektrum 1 {31};-4.668;-36.47;5.7;3.8;5.0;8.2;77.3
Spektrum 1 {32};-0.169;-36.47;5.0;4.5;5.3;7.6;77.5
Spektrum 1 {33};4.318;-36.47;6.0;4.2;5.8;7.0;77.1
Spektrum 1 {34};8.819;-36.47;5.5;4.3;6.5;7.1;76.6
Spektrum 1 {35};13.318;-36.47;4.0;5.0;5.8;6.7;78.5
Spektrum 1 {36};17.819;-36.47;4.6;4.2;5.6;6.6;78.9
Spektrum 1 {37};22.32;-36.47;3.9;5.8;5.4;6.1;78.8
Spektrum 1 {38};26.82;-36.47;5.1;5.8;5.8;6.6;76.6
Spektrum 1 {46};-31.67;-31.969;6.7;2.7;5.4;8.9;76.3
Spektrum 1 {47};-27.171;-31.969;6.4;2.9;5.0;8.6;77.0
Spektrum 1 {48};-22.67;-31.969;6.1;3.6;5.8;8.7;75.9
Spektrum 1 {49};-18.171;-31.969;5.8;3.3;5.7;8.1;77.1
Spektrum 1 {50};-13.67;-31.969;7.1;3.0;5.8;7.7;76.4
Spektrum 1 {51};-9.169;-31.969;6.0;4.5;5.9;7.3;76.4
Spektrum 1 {52};-4.669;-31.969;6.5;3.7;5.8;7.8;76.3
Spektrum 1 {53};-0.169;-31.969;6.3;4.6;5.5;7.5;76.1
Spektrum 1 {54};4.318;-31.969;5.1;4.9;5.3;7.4;77.3
Spektrum 1 {55};8.819;-31.969;5.4;4.8;6.9;6.3;76.7
Spektrum 1 {56};13.32;-31.969;5.5;5.1;5.9;7.5;76.0
Spektrum 1 {57};17.819;-31.969;3.8;5.3;7.3;6.7;76.9
Spektrum 1 {58};22.32;-31.969;4.7;6.0;7.2;6.1;75.9
Spektrum 1 {59};26.819;-31.969;5.4;6.1;5.8;6.4;76.2
Spektrum 1 {60};31.32;-31.969;4.0;5.6;7.3;7.0;76.1
Spektrum 1 {66};-36.169;-27.464;7.9;2.8;5.6;10.1;73.6
Spektrum 1 {67};-31.672;-27.464;8.1;2.6;5.1;8.7;75.4
Spektrum 1 {68};-27.171;-27.464;6.5;2.9;5.7;9.5;75.3
Spektrum 1 {69};-22.669;-27.464;7.0;3.5;6.0;8.3;75.2
Spektrum 1 {70};-18.168;-27.464;6.8;2.9;6.3;8.1;75.9
Spektrum 1 {71};-13.669;-27.464;7.1;4.9;6.2;8.0;73.9
Spektrum 1 {72};-9.17;-27.464;7.0;4.2;5.9;7.3;75.6
