;x;y;Cu;Pd;Ag;Pt;Au
Spectrum 1 {6};-22.67;-40.969;63.2;6.9;9.9;7.9;12.1
Spectrum 1 {7};-18.169;-40.969;63.4;7.1;10.1;7.4;11.9
Spectrum 1 {8};-13.67;-40.969;63.3;7.6;9.7;7.5;11.8
Spectrum 1 {9};-9.17;-40.969;61.8;8.1;10.6;7.3;12.2
Spectrum 1 {10};-4.67;-40.969;60.4;9.0;11.4;6.7;12.5
Spectrum 1 {11};-0.171;-40.969;60.5;9.4;11.4;6.5;12.1
Spectrum 1 {12};4.319;-40.969;58.6;9.9;13.0;5.8;12.7
Spectrum 1 {13};8.819;-40.969;57.3;10.9;13.6;5.9;12.3
Spectrum 1 {14};13.319;-40.969;56.5;11.9;13.4;5.9;12.3
Spectrum 1 {15};17.819;-40.969;54.6;12.7;14.2;5.3;13.1
Spectrum 1 {16};22.319;-40.969;53.9;12.7;15.1;5.1;13.1
Spectrum 1 {26};-27.17;-36.47;67.2;5.8;8.4;8.0;10.5
Spectrum 1 {27};-22.669;-36.47;65.6;6.4;9.5;7.6;10.8
Spectrum 1 {28};-18.17;-36.47;65.0;7.2;9.7;7.1;11.0
Spectrum 1 {29};-13.669;-36.47;64.0;7.1;10.8;7.0;11.1
Spectrum 1 {30};-9.17;-36.47;63.7;7.2;11.2;7.0;10.9
Spectrum 1 {31};-4.668;-36.47;62.3;8.6;11.8;6.1;11.2
Spectrum 1 {32};-0.169;-36.47;60.6;8.8;12.8;6.4;11.4
Spectrum 1 {33};4.318;-36.47;60.7;8.7;13.3;6.1;11.2
Spectrum 1 {34};8.819;-36.47;58.8;10.8;13.2;5.6;11.6
Spectrum 1 {35};13.318;-36.47;57.9;11.0;14.0;5.4;11.8
Spectrum 1 {36};17.819;-36.47;56.5;11.7;14.7;5.3;11.9
Spectrum 1 {37};22.32;-36.47;55.8;12.3;14.8;5.0;12.2
Spectrum 1 {38};26.82;-36.47;54.4;13.2;15.7;4.7;12.0
Spectrum 1 {46};-31.67;-31.969;68.2;5.8;8.1;8.1;9.9
Spectrum 1 {47};-27.171;-31.969;67.2;6.2;9.3;7.6;9.7
Spectrum 1 {48};-22.67;-31.969;67.7;5.9;9.3;7.1;10.0
Spectrum 1 {49};-18.171;-31.969;66.2;7.1;9.9;7.0;9.8
Spectrum 1 {50};-13.67;-31.969;66.0;6.2;10.6;6.9;10.3
Spectrum 1 {51};-9.169;-31.969;64.8;7.7;11.4;6.2;10.0
Spectrum 1 {52};-4.669;-31.969;64.1;7.7;11.9;6.1;10.1
Spectrum 1 {53};-0.169;-31.969;62.2;8.8;13.1;5.8;10.2
Spectrum 1 {54};4.318;-31.969;61.4;9.1;13.2;5.5;10.8
Spectrum 1 {55};8.819;-31.969;59.9;9.9;14.1;5.9;10.1
Spectrum 1 {56};13.32;-31.969;58.5;10.6;14.8;5.4;10.7
Spectrum 1 {57};17.819;-31.969;58.7;11.1;14.5;5.2;10.5
Spectrum 1 {58};22.32;-31.969;56.0;12.0;16.2;4.9;10.9
Spectrum 1 {59};26.819;-31.969;54.9;12.4;16.7;4.7;11.3
Spectrum 1 {60};31.32;-31.969;53.5;14.3;16.3;4.7;11.2
Spectrum 1 {66};-36.169;-27.464;70.7;5.1;7.8;7.7;8.6
Spectrum 1 {67};-31.672;-27.464;69.3;5.6;8.7;7.1;9.3
Spectrum 1 {68};-27.171;-27.464;69.1;5.7;8.8;7.4;9.0
Spectrum 1 {69};-22.669;-27.464;68.7;5.7;9.8;7.0;8.8
Spectrum 1 {70};-18.168;-27.464;67.6;6.0;10.3;6.9;9.3
Spectrum 1 {71};-13.669;-27.464;66.8;6.6;10.9;6.4;9.3
Spectrum 1 {72};-9.17;-27.464;65.9;7.3;11.5;6.3;9.0
Spectrum 1 {73};-4.669;-27.464;64.7;7.8;12.4;6.0;9.1
Spectrum 1 {74};-0.169;-27.464;63.4;8.2;13.4;5.9;9.3
Spectrum 1 {75};4.321;-27.464;62.2;8.9;13.5;5.4;9.9
Spectrum 1 {76};8.819;-27.464;61.8;8.5;14.5;5.6;9.5
Spectrum 1 {77};13.319;-27.464;60.3;10.2;14.9;5.2;9.4
Spectrum 1 {78};17.82;-27.464;58.0;10.6;16.2;5.2;10.0
Spectrum 1 {79};22.32;-27.464;56.2;12.0;16.8;4.6;10.4
Spectrum 1 {80};26.82;-27.464;55.4;12.6;17.1;4.3;10.5
Spectrum 1 {81};31.321;-27.464;55.5;12.8;17.7;3.8;10.2
Spectrum 1 {82};35.818;-27.464;52.8;14.3;18.2;4.2;10.5
Spectrum 1 {86};-40.67;-22.967;71.6;4.7;7.5;7.8;8.4
Spectrum 1 {87};-36.17;-22.967;71.6;4.9;8.3;7.3;8.0
Spectrum 1 {88};-31.669;-22.967;71.9;4.6;8.4;7.0;8.0
Spectrum 1 {89};-27.17;-22.967;71.3;4.9;8.8;6.7;8.3
Spectrum 1 {90};-22.668;-22.967;69.4;6.1;9.4;6.7;8.3
Spectrum 1 {91};-18.168;-22.967;68.7;6.3;10.7;6.1;8.3
Spectrum 1 {92};-13.67;-22.967;68.0;6.3;10.9;6.0;8.8
Spectrum 1 {93};-9.169;-22.967;67.0;6.4;12.5;5.6;8.5
Spectrum 1 {94};-4.671;-22.967;65.2;7.6;12.7;5.7;8.8
Spectrum 1 {95};-0.171;-22.967;65.0;7.7;13.1;5.6;8.6
Spectrum 1 {96};4.32;-22.967;63.2;8.2;14.7;5.1;8.7
Spectrum 1 {97};8.819;-22.967;62.1;9.0;15.3;4.9;8.6
Spectrum 1 {98};13.318;-22.967;61.6;9.3;15.2;4.5;9.5
Spectrum 1 {99};17.82;-22.967;59.6;10.3;16.1;4.6;9.3
Spectrum 1 {100};22.32;-22.967;58.3;10.8;17.1;4.3;9.5
Spectrum 1 {101};26.82;-22.967;57.0;12.3;17.0;4.6;9.1
Spectrum 1 {102};31.318;-22.967;55.4;12.9;18.1;4.0;9.5
Spectrum 1 {103};35.819;-22.967;52.7;13.2;19.8;4.2;10.1
Spectrum 1 {104};40.318;-22.967;53.0;14.0;19.5;3.8;9.8
Spectrum 1 {107};-40.671;-18.467;74.0;3.9;7.5;7.1;7.4
Spectrum 1 {108};-36.169;-18.467;73.1;4.5;7.8;7.2;7.3
Spectrum 1 {109};-31.67;-18.467;72.8;4.9;8.2;6.7;7.4
Spectrum 1 {110};-27.169;-18.467;71.4;5.2;9.7;6.5;7.4
Spectrum 1 {111};-22.669;-18.467;71.0;6.0;9.9;5.9;7.3
Spectrum 1 {112};-18.168;-18.467;70.7;5.3;10.5;6.3;7.2
Spectrum 1 {113};-13.671;-18.467;68.9;6.0;11.9;5.7;7.6
Spectrum 1 {114};-9.169;-18.467;67.8;6.5;12.5;5.6;7.6
Spectrum 1 {115};-4.668;-18.467;66.4;7.2;13.1;5.2;8.0
Spectrum 1 {116};-0.169;-18.467;65.7;7.5;13.6;5.6;7.6
Spectrum 1 {117};4.32;-18.467;65.3;7.5;14.5;4.6;8.1
Spectrum 1 {118};8.819;-18.467;63.3;8.7;15.1;4.7;8.1
Spectrum 1 {119};13.32;-18.467;61.4;9.3;16.0;4.9;8.3
Spectrum 1 {120};17.818;-18.467;61.1;9.8;16.2;4.4;8.5
Spectrum 1 {121};22.32;-18.467;58.7;10.5;17.9;4.1;8.7
Spectrum 1 {122};26.82;-18.467;58.0;11.4;17.7;4.0;8.8
Spectrum 1 {123};31.32;-18.467;55.6;12.4;19.0;3.8;9.1
Spectrum 1 {124};35.82;-18.467;54.6;13.2;19.3;3.9;9.1
Spectrum 1 {125};40.318;-18.467;52.7;14.5;19.8;3.6;9.3
Spectrum 1 {127};-45.167;-13.964;75.5;3.5;7.1;7.0;6.9
Spectrum 1 {128};-40.672;-13.964;74.7;4.0;8.1;7.0;6.2
Spectrum 1 {129};-36.17;-13.964;74.4;4.3;8.2;6.7;6.3
Spectrum 1 {130};-31.67;-13.964;73.8;4.3;8.8;6.4;6.7
Spectrum 1 {131};-27.171;-13.964;73.0;4.9;9.2;6.2;6.7
Spectrum 1 {132};-22.67;-13.964;71.8;5.2;10.4;5.9;6.7
Spectrum 1 {133};-18.168;-13.964;71.7;5.5;10.4;5.6;6.9
Spectrum 1 {134};-13.669;-13.964;70.8;5.7;11.4;5.2;6.9
Spectrum 1 {135};-9.169;-13.964;70.1;5.6;12.1;5.2;7.0
Spectrum 1 {136};-4.668;-13.964;67.7;6.7;13.0;5.0;7.6
Spectrum 1 {137};-0.168;-13.964;67.3;6.7;14.0;4.9;7.2
Spectrum 1 {138};4.319;-13.964;65.4;7.6;14.9;4.8;7.3
Spectrum 1 {139};8.819;-13.964;63.7;8.0;15.8;4.6;7.9
Spectrum 1 {140};13.319;-13.964;62.6;9.2;16.5;4.2;7.6
Spectrum 1 {141};17.819;-13.964;61.3;9.6;17.1;4.0;8.0
Spectrum 1 {142};22.32;-13.964;60.8;10.1;17.7;4.0;7.4
Spectrum 1 {143};26.819;-13.964;58.8;10.4;18.8;4.1;8.0
Spectrum 1 {144};31.32;-13.964;56.7;11.0;19.8;3.9;8.6
Spectrum 1 {145};35.819;-13.964;54.1;12.5;21.2;3.9;8.3
Spectrum 1 {146};40.319;-13.964;54.3;13.0;20.6;3.6;8.5
Spectrum 1 {147};44.819;-13.964;52.2;14.5;21.4;3.7;8.2
Spectrum 1 {148};-45.169;-9.466;76.6;3.0;7.5;6.8;6.1
Spectrum 1 {149};-40.67;-9.466;76.1;4.0;7.5;6.6;5.8
Spectrum 1 {150};-36.171;-9.466;75.2;4.2;8.5;6.3;5.8
Spectrum 1 {151};-31.671;-9.466;75.3;4.2;8.4;5.9;6.2
Spectrum 1 {152};-27.171;-9.466;74.1;4.7;9.3;5.6;6.4
Spectrum 1 {153};-22.669;-9.466;73.9;4.7;10.0;5.4;6.0
Spectrum 1 {154};-18.17;-9.466;72.1;5.1;11.3;5.4;6.1
Spectrum 1 {155};-13.669;-9.466;71.5;6.0;11.4;5.1;6.1
Spectrum 1 {156};-9.169;-9.466;69.9;6.0;12.6;5.1;6.4
Spectrum 1 {157};-4.668;-9.466;69.3;6.1;13.2;4.7;6.7
Spectrum 1 {158};-0.17;-9.466;68.0;6.6;14.2;4.7;6.5
Spectrum 1 {159};4.318;-9.466;67.1;7.0;14.8;4.6;6.6
Spectrum 1 {160};8.819;-9.466;65.0;7.9;15.7;4.7;6.7
Spectrum 1 {161};13.32;-9.466;63.1;9.0;16.9;3.9;7.1
Spectrum 1 {162};17.821;-9.466;62.7;8.8;17.4;4.3;6.8
