Index,Ag,Au,Pd,Pt
1,12.24,47.37,22.24,18.16
2,12.73,45.44,21.31,20.51
3,12.52,45.21,19.44,22.83
4,12.99,42.75,18.73,25.53
5,12.84,41.09,17.67,28.4
6,13.06,39.17,16.44,31.34
7,12.44,38.29,14.7,34.57
8,13.81,35.11,14.14,36.94
9,12.95,33.39,13.46,40.2
10,12.99,29.4,12.82,44.79
11,12.5,27.72,12.14,47.64
12,12.33,45.76,24.93,16.98
13,12.94,45.01,23.85,18.19
14,13.08,44.73,22.36,19.83
15,13.4,42.74,21.86,22.0
16,14.36,41.85,19.2,24.59
17,13.72,39.68,18.88,27.73
18,15.01,37.89,17.38,29.72
19,14.18,35.9,16.8,33.13
20,14.31,32.55,15.72,37.42
21,14.14,31.11,14.64,40.1
22,13.27,28.52,14.43,43.78
23,13.02,27.05,12.69,47.25
24,13.37,24.06,11.94,50.62
25,13.38,45.17,26.77,14.67
26,14.29,43.84,26.23,15.64
27,14.36,42.57,25.16,17.92
28,15.3,41.69,23.09,19.92
29,15.05,40.23,22.5,22.22
30,15.35,39.76,20.34,24.54
31,15.94,37.34,19.44,27.27
32,15.4,36.51,18.91,29.18
33,14.51,35.1,17.16,33.23
34,15.6,31.8,16.34,36.26
35,15.45,30.25,14.49,39.81
36,14.63,26.99,14.63,43.74
37,15.23,25.55,12.18,47.04
38,14.72,22.5,12.18,50.59
39,14.83,21.29,10.47,53.4
40,14.42,43.95,29.19,12.44
41,15.16,42.6,27.68,14.56
42,15.29,42.96,26.21,15.53
43,15.69,41.2,25.39,17.72
44,15.82,40.08,25.03,19.07
45,16.92,39.1,22.69,21.28
46,16.48,37.85,21.65,24.02
47,17.65,35.44,20.35,26.55
48,17.89,33.88,18.43,29.81
49,17.16,32.26,18.18,32.4
50,17.47,30.58,16.38,35.57
51,16.44,28.3,15.7,39.56
52,17.01,26.71,14.79,41.49
53,16.97,24.05,13.84,45.14
54,16.25,22.22,11.61,49.92
55,15.58,19.35,11.82,53.25
56,15.18,17.68,10.89,56.25
57,15.04,41.92,31.75,11.28
58,15.56,41.83,30.24,12.36
59,16.32,40.69,29.31,13.68
60,16.77,40.52,27.35,15.35
61,17.12,39.66,26.6,16.63
62,17.96,37.96,24.97,19.11
63,17.98,37.45,23.35,21.22
64,18.48,35.64,22.61,23.27
65,18.61,34.27,21.02,26.1
66,18.7,33.43,19.12,28.75
67,18.73,30.99,18.45,31.83
68,18.13,29.49,17.97,34.41
69,18.44,26.88,16.72,37.97
70,17.96,25.23,15.33,41.49
71,17.5,23.5,14.17,44.83
72,18.35,20.84,13.22,47.59
73,16.47,19.69,11.88,51.95
74,17.13,16.61,11.01,55.24
75,17.44,15.21,9.83,57.51
76,16.45,41.28,31.68,10.6
77,17.18,39.89,31.3,11.64
78,17.99,38.55,30.28,13.18
79,18.81,37.74,28.96,14.48
80,18.99,37.23,27.04,16.73
81,19.81,36.11,25.85,18.24
82,20.53,34.76,24.31,20.4
83,20.07,33.87,23.4,22.66
84,19.63,32.59,22.51,25.26
85,20.56,31.03,21.22,27.19
86,21.09,29.33,19.83,29.75
87,21.27,27.21,17.51,34.01
88,20.36,25.04,17.5,37.1
89,20.39,24.02,15.56,40.03
90,20.03,22.17,14.53,43.27
91,19.65,19.48,13.53,47.34
92,19.18,17.81,12.33,50.68
93,19.32,16.56,10.71,53.41
94,17.56,14.16,10.93,57.35
95,17.47,38.12,35.23,9.18
96,17.55,38.14,33.54,10.76
97,19.29,37.24,32.22,11.26
98,19.89,36.56,30.97,12.58
99,20.8,35.35,29.82,14.04
100,20.35,34.91,28.9,15.84
101,21.81,34.08,26.77,17.35
102,20.98,33.61,26.1,19.31
103,21.86,32.04,24.12,21.98
104,22.52,30.28,22.9,24.3
105,22.52,28.81,21.89,26.79
106,23.12,27.74,20.34,28.8
107,23.46,25.56,18.72,32.26
108,22.59,24.01,18.04,35.37
109,22.14,22.89,15.81,39.16
110,21.9,21.26,14.98,41.87
111,21.78,18.48,13.86,45.87
112,21.29,18.06,12.27,48.38
113,19.97,16.01,12.39,51.64
114,19.75,14.18,11.13,54.94
115,19.68,11.45,10.55,58.32
116,18.28,36.56,36.02,9.14
117,19.21,35.7,34.97,10.13
118,20.55,35.36,33.48,10.61
119,21.35,34.04,32.45,12.16
120,21.76,33.48,31.0,13.75
121,23.15,32.43,29.26,15.16
122,22.97,32.0,28.21,16.83
123,24.2,30.47,26.66,18.67
124,24.48,29.87,25.34,20.32
125,25.25,28.05,23.73,22.97
126,24.65,27.71,21.84,25.8
127,25.03,26.11,20.73,28.13
128,25.03,24.62,19.02,31.33
129,25.22,22.01,18.37,34.4
130,25.4,21.17,16.5,36.93
131,24.03,19.32,15.75,40.91
132,23.56,17.78,14.51,44.15
133,24.53,16.04,12.74,46.7
134,22.87,14.85,11.77,50.51
135,21.55,13.26,11.05,54.14
136,20.69,11.07,11.07,57.17
137,19.58,34.51,36.93,8.98
138,20.64,33.95,35.6,9.8
139,21.96,33.2,34.43,10.41
140,23.12,32.56,32.77,11.56
141,23.07,31.91,32.14,12.88
142,23.95,30.85,30.62,14.58
143,25.27,29.74,29.19,15.8
144,25.39,29.26,27.09,18.26
145,26.22,28.72,24.91,20.14
146,27.23,26.86,24.05,21.86
147,26.92,25.49,23.15,24.45
148,27.85,24.22,21.11,26.81
149,27.41,22.52,20.14,29.93
150,27.31,21.47,18.75,32.47
151,27.23,20.06,17.13,35.58
152,27.27,18.03,15.72,38.98
153,27.02,16.34,15.11,41.53
154,26.33,15.19,13.89,44.59
155,25.09,13.99,12.46,48.46
156,24.13,11.89,12.24,51.75
157,23.3,10.75,10.75,55.2
158,22.01,31.69,37.81,8.49
159,23.63,31.36,35.54,9.47
160,23.19,31.06,35.05,10.7
161,24.84,30.48,33.51,11.17
162,25.39,29.73,32.29,12.58
163,26.57,28.82,30.63,13.98
164,26.75,28.49,29.69,15.07
165,27.4,27.05,28.32,17.23
166,28.75,26.23,26.58,18.44
167,29.01,25.34,24.85,20.81
168,29.03,23.49,23.86,23.62
169,30.14,22.41,22.02,25.43
170,29.88,21.4,20.19,28.53
171,30.33,19.95,18.58,31.15
172,29.74,18.8,17.35,34.11
173,29.82,16.81,16.37,36.99
174,28.26,15.81,15.23,40.7
175,28.8,14.08,13.75,43.37
176,26.83,12.85,13.66,46.67
177,26.38,12.14,11.49,50.0
178,25.6,11.09,10.58,52.73
179,23.24,30.28,38.67,7.81
180,24.74,29.42,37.25,8.6
181,25.35,28.6,36.0,10.04
182,26.27,28.75,34.75,10.24
183,28.15,27.56,32.58,11.71
184,29.1,26.87,31.02,13.01
185,29.08,25.75,30.69,14.48
186,30.21,25.25,28.41,16.12
187,30.89,23.88,27.6,17.63
188,31.61,23.33,25.86,19.2
189,32.13,22.17,23.91,21.79
190,32.08,21.3,22.68,23.93
191,32.75,19.45,20.95,26.85
192,32.49,18.64,19.63,29.24
193,31.71,17.11,17.94,33.24
194,32.58,15.54,17.04,34.84
195,31.35,14.92,15.07,38.66
196,30.45,13.29,15.3,40.96
197,30.27,12.2,12.36,45.17
198,28.88,11.19,12.27,47.65
199,28.03,9.74,12.14,50.09
200,25.34,27.92,39.12,7.62
201,26.18,28.14,37.55,8.14
202,27.27,27.37,36.07,9.28
203,28.83,26.24,35.19,9.74
204,30.1,25.73,32.71,11.46
205,30.94,24.75,32.14,12.18
206,31.53,24.04,31.43,13.01
207,31.73,23.91,29.72,14.64
208,33.22,22.69,27.37,16.73
209,33.67,21.02,26.33,18.98
210,34.33,20.14,24.79,20.74
211,34.64,19.16,23.1,23.1
212,34.28,18.11,21.86,25.74
213,35.46,16.67,19.92,27.94
214,34.58,16.04,19.5,29.88
215,34.4,14.51,17.27,33.82
216,34.02,13.46,15.98,36.54
217,33.8,12.04,14.66,39.51
218,32.72,11.19,13.02,43.07
219,31.9,10.63,13.04,44.43
220,30.29,8.96,11.47,49.28
221,27.16,25.55,39.98,7.31
222,28.53,25.88,37.73,7.87
223,30.06,24.34,36.61,8.99
224,31.8,23.81,34.93,9.47
225,31.43,23.86,33.95,10.77
226,32.63,23.05,32.42,11.89
227,33.37,22.35,31.14,13.14
228,34.98,21.78,29.08,14.16
229,36.1,20.74,27.91,15.25
230,35.95,20.23,26.36,17.46
231,36.76,19.14,24.5,19.6
232,37.41,17.83,22.82,21.95
233,37.87,16.99,21.53,23.61
234,37.27,15.88,20.21,26.64
235,36.15,15.86,19.64,28.35
236,37.35,13.25,17.75,31.66
237,36.14,12.95,16.42,34.49
238,36.95,11.67,14.26,37.12
239,35.89,10.93,12.89,40.29
240,35.05,9.86,12.21,42.88
241,33.17,8.83,12.0,46.0
242,30.86,23.52,38.19,7.43
243,32.35,23.31,36.16,8.18
244,32.85,22.22,35.87,9.06
245,34.15,21.74,34.36,9.74
