Index,Au,Pd,Pt,Ru
1,36.8,27.8,9.2,26.2
2,32.6,31.9,8.9,26.6
3,30.5,33.3,8.1,28.1
4,27.6,36.5,7.2,28.7
5,24.6,39.1,6.8,29.5
6,22.2,40.7,6.1,30.9
7,20.1,43.1,5.5,31.3
8,18.2,44.6,4.8,32.4
9,16.3,46.0,4.5,33.1
10,15.0,48.2,3.9,32.9
11,13.2,49.4,3.7,33.8
12,37.1,24.6,11.3,27.0
13,34.0,27.4,10.6,28.0
14,30.9,30.0,9.8,29.2
15,28.7,32.3,8.3,30.7
16,25.9,34.5,8.1,31.5
17,23.2,37.4,7.1,32.4
18,20.9,39.0,6.8,33.4
19,19.4,40.1,5.8,34.7
20,17.0,42.5,5.3,35.2
21,15.5,43.9,4.8,35.7
22,14.1,44.4,4.2,37.3
23,12.1,46.1,3.9,37.9
24,10.7,47.5,3.7,38.1
25,37.6,20.4,13.4,28.6
26,34.1,23.8,12.5,29.6
27,31.3,26.0,12.0,30.7
28,28.7,27.8,11.2,32.3
29,26.5,30.0,9.8,33.7
30,24.1,32.8,9.1,34.0
31,21.8,34.7,8.0,35.5
32,19.4,36.4,7.2,37.0
33,17.6,38.0,6.7,37.7
34,16.0,38.8,5.9,39.3
35,14.3,40.8,5.3,39.5
36,13.0,42.0,4.8,40.1
37,11.3,42.8,4.4,41.4
38,10.4,44.0,3.7,41.9
39,8.9,45.3,3.5,42.3
40,37.1,18.4,15.8,28.7
41,34.3,20.3,15.0,30.5
42,31.2,22.3,13.9,32.6
43,28.9,24.2,13.0,33.9
44,26.3,27.1,12.1,34.5
45,24.4,28.3,10.8,36.6
46,21.8,30.7,9.6,37.9
47,20.0,32.0,8.9,39.1
48,17.6,34.2,8.1,40.1
49,16.1,36.0,7.1,40.8
50,14.8,36.5,6.3,42.4
51,13.5,37.1,5.9,43.5
52,11.9,38.9,5.0,44.1
53,10.6,39.4,4.5,45.4
54,9.4,40.1,4.3,46.2
55,8.1,42.0,3.6,46.2
56,7.4,43.0,3.2,46.4
57,35.7,15.6,18.8,29.9
58,32.8,17.3,18.6,31.4
59,30.9,18.8,16.9,33.4
60,28.5,20.9,15.6,35.0
61,26.2,22.9,14.6,36.4
62,23.7,24.3,13.1,38.9
63,21.7,27.0,11.7,39.6
64,19.4,28.3,11.0,41.3
65,17.6,29.8,9.5,43.0
66,15.9,32.0,8.8,43.3
67,15.0,32.8,7.4,44.9
68,13.3,34.4,6.9,45.4
69,12.1,34.8,6.1,47.0
70,10.7,35.4,5.6,48.3
71,9.8,36.6,4.7,48.9
72,8.4,37.4,4.3,49.8
73,7.4,38.7,4.0,50.0
74,6.7,39.3,3.5,50.6
75,5.7,40.7,3.1,50.5
76,31.6,15.2,21.0,32.2
77,28.9,17.0,19.5,34.6
78,26.9,18.1,18.5,36.5
79,25.2,19.7,17.2,37.9
80,23.1,21.4,15.4,40.1
81,21.0,22.8,14.3,41.9
82,19.3,24.7,12.5,43.5
83,17.8,26.4,11.3,44.5
84,15.8,27.6,10.4,46.2
85,14.8,28.3,9.1,47.7
86,13.3,30.3,7.9,48.5
87,12.0,31.1,7.1,49.8
88,10.6,32.4,6.5,50.4
89,9.4,32.9,6.0,51.7
90,8.4,33.9,5.3,52.5
91,7.8,34.5,4.5,53.3
92,6.6,35.1,4.3,54.0
93,5.8,35.7,3.5,55.0
94,5.0,37.1,3.5,54.4
95,28.1,13.6,23.5,34.8
96,26.2,15.3,20.7,37.8
97,23.8,16.3,20.1,39.7
98,22.4,18.4,18.1,41.0
99,20.2,20.4,16.1,43.4
100,18.5,21.1,15.1,45.4
101,17.2,22.5,13.7,46.7
102,15.8,24.3,12.0,47.8
103,14.4,24.6,10.7,50.3
104,13.0,27.1,9.5,50.3
105,11.9,27.5,8.7,51.9
106,10.4,28.7,7.8,53.1
107,9.7,29.2,7.0,54.1
108,8.9,29.7,5.9,55.4
109,7.7,30.6,5.4,56.3
110,6.8,31.7,4.8,56.7
111,6.1,32.1,4.3,57.5
112,5.1,32.8,3.8,58.3
113,4.5,33.7,3.5,58.3
114,4.0,34.5,3.2,58.3
115,24.3,13.0,24.7,38.0
116,23.9,14.5,22.4,39.2
117,21.0,15.5,21.2,42.3
118,19.7,16.3,19.4,44.7
119,18.0,18.4,17.1,46.6
120,17.2,19.4,15.4,48.0
121,15.3,20.4,14.0,50.3
122,13.8,22.1,12.3,51.9
123,12.5,23.1,11.2,53.3
124,11.5,24.4,9.9,54.3
125,10.5,25.0,8.8,55.6
126,9.4,25.7,7.7,57.1
127,8.6,26.1,7.1,58.2
128,7.7,27.1,6.4,58.8
129,6.8,28.3,5.7,59.3
130,6.0,28.9,5.1,60.1
131,5.2,29.6,4.6,60.6
132,4.7,30.3,4.0,61.1
133,4.0,31.2,3.6,61.3
134,3.3,31.7,3.4,61.6
135,20.9,12.8,26.4,40.0
136,20.5,13.7,23.9,41.9
137,19.3,14.3,21.2,45.1
138,17.2,15.7,20.1,47.0
139,16.1,16.1,18.1,49.6
140,14.7,17.2,16.2,51.9
141,13.0,19.1,14.5,53.4
142,12.1,19.6,13.1,55.2
143,11.2,20.7,11.6,56.6
144,9.8,21.5,10.3,58.4
145,9.0,22.9,9.4,58.7
146,8.3,23.3,8.2,60.1
147,7.5,24.0,7.3,61.2
148,6.8,24.8,6.5,61.9
149,5.8,25.5,6.1,62.6
150,5.2,26.0,5.2,63.6
151,4.8,27.1,4.6,63.4
152,4.0,27.7,4.2,64.1
153,3.5,27.9,3.9,64.7
154,3.3,28.7,3.3,64.7
155,19.5,11.4,26.9,42.2
156,18.0,12.1,24.6,45.2
157,16.3,12.9,22.9,47.9
158,15.0,14.4,20.7,49.9
159,13.8,15.9,18.7,51.6
160,12.8,15.6,16.8,54.8
161,11.5,17.2,14.8,56.4
162,10.6,17.7,13.1,58.6
163,9.5,19.0,11.7,59.8
164,8.7,20.1,10.7,60.5
165,7.9,20.4,9.6,62.2
166,7.2,21.0,8.6,63.2
167,6.5,21.9,7.7,63.8
168,5.9,22.8,6.8,64.5
169,5.1,23.4,6.2,65.3
170,4.7,24.4,5.2,65.7
171,4.0,24.4,4.8,66.8
172,3.5,24.9,4.4,67.2
173,3.2,25.7,3.8,67.3
174,2.7,26.1,3.4,67.8
175,17.2,10.7,27.7,44.3
176,15.8,11.2,25.9,47.0
177,14.6,12.3,23.2,49.9
178,13.5,12.6,21.5,52.5
179,12.4,14.0,19.1,54.6
180,10.7,14.6,17.1,57.5
181,10.3,15.3,15.2,59.2
182,9.1,16.0,13.5,61.4
183,8.3,17.1,12.1,62.5
184,7.8,17.6,10.9,63.7
185,6.9,18.2,9.6,65.3
186,6.2,19.0,8.9,65.9
187,5.7,19.7,8.0,66.6
188,5.0,20.9,6.9,67.2
189,4.5,20.7,6.4,68.5
190,4.1,21.8,5.7,68.5
191,3.6,22.2,5.2,68.9
192,3.1,22.7,4.6,69.7
193,2.7,23.3,4.0,70.1
194,2.4,23.6,3.6,70.4
195,15.0,9.5,29.0,46.4
196,14.2,10.9,26.2,48.7
197,12.7,11.1,24.1,52.1
198,11.2,11.8,22.1,54.9
199,11.0,12.4,19.3,57.3
200,9.9,12.1,17.6,60.4
201,9.1,13.7,15.8,61.5
202,8.2,13.9,13.9,64.0
203,7.6,14.9,12.3,65.2
204,6.6,15.5,11.2,66.7
205,6.0,16.8,10.0,67.2
206,5.5,17.2,9.4,67.9
207,4.9,17.8,8.2,69.1
208,4.4,19.1,7.2,69.4
209,3.8,19.4,6.6,70.2
210,3.4,19.4,5.9,71.4
211,3.2,20.0,5.1,71.7
212,2.7,20.5,4.7,72.1
213,2.3,21.2,4.1,72.4
214,1.9,21.2,3.7,73.2
215,12.7,9.3,29.3,48.7
216,12.1,9.8,27.0,51.1
217,11.4,10.3,24.4,54.0
218,10.3,11.1,21.8,56.8
219,9.6,11.4,19.5,59.5
220,8.4,11.3,18.1,62.2
221,7.7,12.1,15.8,64.4
222,7.2,12.5,14.2,66.1
223,6.5,12.9,12.8,67.9
224,6.2,14.2,11.3,68.3
225,5.3,14.5,10.4,69.7
226,4.7,15.5,9.1,70.7
227,4.1,16.1,8.5,71.3
228,3.7,16.4,7.5,72.4
229,3.4,17.2,6.8,72.6
230,3.0,17.4,6.2,73.4
231,2.7,18.3,5.5,73.6
232,2.3,18.3,4.8,74.6
233,2.0,18.3,4.3,75.4
234,1.9,18.9,3.7,75.5
235,11.5,8.2,30.8,49.4
236,10.4,8.1,28.3,53.2
237,9.6,9.2,25.5,55.7
238,9.1,9.1,22.7,59.0
239,8.1,9.7,20.2,61.9
240,7.5,10.1,18.2,64.2
241,6.7,10.7,16.2,66.4
242,6.4,11.0,14.4,68.1
243,5.6,11.8,12.8,69.8
244,5.1,12.4,11.7,70.8
245,4.7,13.1,10.3,71.9
246,4.2,13.6,9.4,72.7
247,3.8,13.9,8.6,73.7
248,3.4,14.6,7.7,74.2
249,3.1,15.0,6.9,75.0
250,2.7,15.7,6.1,75.5
251,2.3,16.4,5.5,75.7
252,2.0,16.4,4.7,76.9
253,1.7,16.4,4.3,77.6
254,10.3,7.0,31.1,51.6
255,9.9,8.1,28.1,53.9
256,9.1,7.8,25.4,57.7
257,7.9,8.7,22.9,60.5
258,7.2,8.7,20.8,63.2
259,6.3,9.3,18.2,66.2
260,6.1,9.7,16.2,67.9
261,5.4,10.0,14.7,69.9
262,4.8,10.3,13.0,71.8
263,4.4,11.2,11.8,72.6
264,4.1,11.9,10.6,73.5
265,3.8,11.7,9.5,75.0
266,3.1,12.4,8.7,75.8
267,2.6,13.0,7.9,76.5
268,2.5,13.8,7.1,76.5
269,2.2,14.0,6.3,77.5
270,1.8,14.1,5.8,78.2
271,1.6,14.8,4.9,78.7
272,1.5,14.7,4.3,79.5
273,7.7,7.1,29.3,55.8
274,7.3,6.7,26.6,59.3
275,7.1,7.5,23.2,62.2
276,6.6,8.2,20.5,64.8
277,5.6,8.4,18.5,67.5
278,5.2,8.6,16.6,69.6
279,4.5,9.0,14.7,71.8
280,4.4,9.1,13.4,73.1
281,4.0,9.6,11.8,74.6
282,3.6,10.7,10.6,75.2
283,3.0,10.3,9.7,77.0
284,2.8,11.5,8.7,77.0
285,2.5,11.3,7.9,78.3
286,2.1,11.8,7.2,78.9
287,1.8,12.1,6.4,79.8
288,1.6,12.9,5.7,79.8
289,1.2,12.5,5.2,81.1
290,6.5,6.7,26.8,59.9
291,5.9,7.0,24.1,63.1
292,5.5,7.1,21.4,66.0
293,5.0,7.7,18.9,68.4
294,4.5,7.8,16.8,70.9
295,4.0,8.2,14.8,72.9
296,3.5,8.1,13.4,75.0
297,3.3,8.6,12.2,76.0
298,2.9,8.8,10.9,77.4
299,2.6,9.7,9.8,77.9
300,2.3,9.6,8.9,79.2
301,1.9,9.7,8.0,80.4
302,1.9,10.6,7.2,80.3
303,1.5,10.8,6.6,81.1
304,1.4,10.6,5.9,82.1
305,5.3,6.4,24.2,64.2
306,4.8,7.1,21.3,66.8
307,4.3,6.2,19.3,70.2
308,3.8,7.0,16.9,72.3
309,3.4,7.3,15.4,73.9
310,3.1,7.1,13.7,76.0
311,2.9,7.1,12.2,77.8
312,2.7,7.6,11.0,78.7
313,2.3,8.2,9.9,79.6
314,2.0,8.4,9.1,80.6
315,1.8,9.2,8.1,80.9
