Index,Au,Pd,Pt,Ru
1,23.08,16.45,58.06,2.42
2,22.15,18.18,56.09,3.58
3,20.39,21.84,54.47,3.3
4,19.23,24.15,53.06,3.57
5,17.4,27.09,51.66,3.85
6,16.49,29.38,50.14,4.0
7,14.6,32.53,48.28,4.59
8,13.82,34.8,45.79,5.59
9,12.4,38.11,43.43,6.05
10,11.68,41.36,41.5,5.45
11,10.46,43.44,40.4,5.7
12,22.19,13.22,62.05,2.54
13,21.05,15.17,60.67,3.11
14,19.7,17.28,59.39,3.63
15,18.97,19.77,57.45,3.81
16,17.44,21.52,56.86,4.18
17,16.0,25.7,54.23,4.07
18,14.44,28.0,52.69,4.87
19,13.23,31.08,51.13,4.56
20,12.52,33.97,48.82,4.68
21,11.99,36.21,46.68,5.11
22,11.4,37.89,43.68,7.04
23,9.9,41.32,42.15,6.63
24,10.24,43.48,39.67,6.61
25,19.46,10.75,67.74,2.06
26,19.71,12.34,65.5,2.44
27,18.57,14.02,63.78,3.64
28,17.62,15.94,62.41,4.03
29,16.85,18.83,60.15,4.17
30,16.07,21.12,58.93,3.89
31,14.61,23.12,57.35,4.92
32,14.28,26.13,54.31,5.29
33,13.27,28.78,52.84,5.12
34,12.25,30.09,51.53,6.14
35,11.13,33.33,49.1,6.44
36,10.12,36.06,47.17,6.65
37,9.04,39.18,44.78,7.0
38,9.12,40.88,43.07,6.93
39,8.74,43.78,40.03,7.45
40,17.26,9.72,70.49,2.54
41,17.53,10.4,69.09,2.99
42,16.9,11.03,68.48,3.59
43,17.11,13.55,65.83,3.52
44,16.31,14.7,65.71,3.28
45,15.29,17.39,63.21,4.1
46,14.49,19.89,61.59,4.03
47,13.34,21.58,60.08,5.0
48,13.02,24.32,57.1,5.56
49,12.11,26.43,55.81,5.66
50,10.92,28.73,54.13,6.22
51,10.54,30.72,51.38,7.36
52,9.39,33.97,49.33,7.32
53,9.25,35.82,47.31,7.63
54,8.32,38.59,44.78,8.32
55,8.1,41.38,41.83,8.68
56,7.69,43.78,39.93,8.6
57,15.91,7.3,74.33,2.46
58,15.6,7.8,74.12,2.48
59,15.0,8.83,73.16,3.01
60,15.62,10.22,70.64,3.52
61,14.55,13.12,67.86,4.47
62,14.36,14.38,66.99,4.27
63,14.46,15.62,65.48,4.44
64,13.21,17.76,63.72,5.32
65,12.27,20.17,62.16,5.4
66,11.64,22.31,59.99,6.06
67,10.72,24.81,58.1,6.36
68,10.24,26.53,56.18,7.05
69,9.47,28.95,53.94,7.63
70,9.19,31.36,52.12,7.33
71,7.71,33.86,49.36,9.07
72,8.35,36.25,46.18,9.22
73,7.33,38.55,44.73,9.39
74,6.9,40.9,42.11,10.09
75,6.92,44.05,39.24,9.78
76,12.85,5.85,77.89,3.41
77,13.16,7.65,76.16,3.03
78,13.68,8.93,73.86,3.54
79,14.08,9.02,73.14,3.76
80,13.88,11.0,71.03,4.09
81,13.17,12.78,69.03,5.03
82,13.23,14.61,67.25,4.91
83,12.58,16.54,65.66,5.23
84,11.18,18.72,64.48,5.61
85,10.59,21.15,61.04,7.22
86,10.2,22.59,60.15,7.05
87,10.04,24.97,57.81,7.18
88,8.76,27.17,55.75,8.33
89,8.4,28.7,53.54,9.36
90,7.74,31.24,51.72,9.3
91,6.68,33.67,49.87,9.77
92,6.71,36.33,46.64,10.32
93,6.15,39.07,44.0,10.78
94,6.34,41.22,41.31,11.13
95,11.22,4.86,81.47,2.44
96,12.18,5.79,79.17,2.87
97,11.48,6.7,78.36,3.46
98,13.11,7.46,76.24,3.19
99,12.28,8.96,74.9,3.86
100,12.23,10.24,73.87,3.66
101,11.83,11.34,72.22,4.6
102,11.72,13.66,68.81,5.82
103,11.39,15.07,67.62,5.92
104,10.44,17.24,65.3,7.02
105,10.18,18.82,63.62,7.38
106,9.27,21.49,62.31,6.93
107,8.1,22.92,60.75,8.22
108,7.79,25.22,58.12,8.87
109,7.67,26.86,56.57,8.9
110,7.37,29.15,53.69,9.79
111,6.68,31.48,51.1,10.75
112,6.73,33.79,48.58,10.89
113,6.0,36.5,45.95,11.55
114,5.86,38.19,44.2,11.75
115,4.81,41.56,41.18,12.46
116,10.14,4.67,82.45,2.74
117,10.84,5.05,80.79,3.33
118,10.51,6.16,79.83,3.49
119,11.0,7.13,78.22,3.65
120,11.35,7.95,76.19,4.5
121,11.25,9.55,74.29,4.91
122,10.83,10.56,73.83,4.78
123,10.41,12.69,71.14,5.75
124,10.38,13.81,70.34,5.47
125,9.46,15.83,67.59,7.11
126,9.58,17.33,65.5,7.59
127,8.95,19.16,63.76,8.14
128,8.08,21.25,62.02,8.65
129,7.39,23.42,59.93,9.27
130,6.68,25.02,58.96,9.34
131,6.31,27.38,56.14,10.17
132,6.43,29.81,52.67,11.09
133,5.57,31.36,51.44,11.63
134,5.15,33.91,48.88,12.06
135,5.18,36.66,45.38,12.78
136,5.57,38.6,42.81,13.02
137,9.72,3.64,84.07,2.58
138,9.51,4.74,82.25,3.5
139,9.68,5.34,81.48,3.5
140,10.32,5.7,79.61,4.37
141,10.03,6.99,78.44,4.53
142,9.96,8.94,76.65,4.44
143,10.16,9.61,74.43,5.8
144,9.52,11.54,72.83,6.11
145,9.72,12.71,71.01,6.56
146,8.86,14.55,69.37,7.22
147,8.4,15.31,68.44,7.85
148,7.85,18.31,65.51,8.34
149,8.15,19.63,62.85,9.37
150,7.11,21.71,61.18,10.0
151,6.53,22.1,59.9,11.48
152,6.48,24.9,57.15,11.47
153,5.46,27.3,55.33,11.91
154,5.45,29.57,52.88,12.1
155,4.69,30.98,50.83,13.5
156,4.97,33.5,48.04,13.49
157,4.72,35.9,45.09,14.29
158,7.63,3.46,85.82,3.09
159,8.48,3.92,84.05,3.55
160,8.54,4.39,82.9,4.16
161,9.25,5.57,81.21,3.98
162,9.11,6.28,79.76,4.85
163,8.54,7.59,78.66,5.21
164,8.79,8.82,76.15,6.24
165,8.4,9.8,76.19,5.6
166,8.53,11.23,72.42,7.82
167,8.18,13.01,71.36,7.46
168,7.89,14.72,69.19,8.19
169,7.61,16.9,66.35,9.14
170,7.05,18.31,65.14,9.5
171,7.02,19.49,62.86,10.63
172,5.57,21.68,61.25,11.51
173,5.53,23.54,59.42,11.52
174,5.64,25.17,56.7,12.49
175,4.93,27.45,54.56,13.06
176,4.3,29.2,52.37,14.14
177,4.02,31.65,49.76,14.57
178,4.6,33.25,46.36,15.79
179,6.24,3.34,87.18,3.24
180,7.75,3.35,85.59,3.32
181,7.52,4.1,84.34,4.04
182,7.21,5.17,82.79,4.83
183,7.57,5.32,81.74,5.38
184,7.78,6.64,79.84,5.74
185,8.0,7.3,79.27,5.43
186,8.27,8.63,76.02,7.08
187,7.36,10.67,74.86,7.12
188,6.93,12.05,72.98,8.04
189,6.52,13.21,71.87,8.41
190,6.97,14.54,69.34,9.16
191,6.14,16.17,67.36,10.33
192,5.46,17.93,66.12,10.5
193,5.49,19.62,62.8,12.09
194,5.5,21.26,61.01,12.23
195,4.55,23.36,59.0,13.09
196,4.4,24.61,56.8,14.19
197,4.28,27.11,54.04,14.57
198,4.28,29.52,50.9,15.29
199,4.36,31.01,48.32,16.32
200,6.58,2.8,87.18,3.44
201,6.47,3.51,86.35,3.67
202,6.83,4.03,85.2,3.94
203,7.09,4.46,83.57,4.89
204,7.14,5.19,83.19,4.48
205,7.4,5.88,80.93,5.78
206,6.71,6.72,80.1,6.48
207,6.73,8.37,77.97,6.93
208,6.89,8.66,76.7,7.75
209,6.93,10.77,74.35,7.96
210,6.24,11.77,72.41,9.57
211,6.42,13.06,70.92,9.61
212,5.14,14.95,69.48,10.42
213,5.44,16.68,66.25,11.63
214,4.72,17.68,66.13,11.46
215,4.22,19.64,63.11,13.03
216,3.99,21.58,61.51,12.92
217,3.52,23.37,58.31,14.8
218,4.0,24.14,55.92,15.95
219,3.87,27.01,53.3,15.82
220,3.51,29.4,50.47,16.62
