;x;y;Ru;Pd;Ag;Pt;Au
Spectrum 1 {6};-22.67;-40.969;10.3;10.5;5.6;43.3;30.3
Spectrum 1 {7};-18.169;-40.969;10.8;11.1;5.9;42.6;29.6
Spectrum 1 {8};-13.67;-40.969;12.1;13.5;4.8;42.0;27.6
Spectrum 1 {9};-9.17;-40.969;11.3;14.1;5.8;41.3;27.5
Spectrum 1 {10};-4.67;-40.969;12.5;15.2;4.3;42.1;25.9
Spectrum 1 {11};-0.171;-40.969;13.6;17.3;4.6;40.6;23.9
Spectrum 1 {12};4.319;-40.969;14.7;18.8;4.4;40.3;21.8
Spectrum 1 {13};8.819;-40.969;15.3;19.7;4.5;39.2;21.3
Spectrum 1 {14};13.319;-40.969;17.1;21.0;3.9;38.2;19.8
Spectrum 1 {15};17.819;-40.969;17.1;22.6;3.4;38.3;18.5
Spectrum 1 {16};22.319;-40.969;18.6;24.5;3.7;36.8;16.4
Spectrum 1 {26};-27.17;-36.47;10.7;9.0;6.6;44.5;29.1
Spectrum 1 {27};-22.669;-36.47;11.0;10.0;6.0;44.5;28.5
Spectrum 1 {28};-18.17;-36.47;12.1;10.9;5.7;44.1;27.2
Spectrum 1 {29};-13.669;-36.47;10.8;12.5;6.4;43.8;26.4
Spectrum 1 {30};-9.17;-36.47;12.3;13.2;5.7;44.3;24.5
Spectrum 1 {31};-4.668;-36.47;13.2;15.1;4.9;43.9;22.9
Spectrum 1 {32};-0.169;-36.47;14.7;16.1;3.7;43.4;22.1
Spectrum 1 {33};4.318;-36.47;15.4;17.9;3.8;42.5;20.3
Spectrum 1 {34};8.819;-36.47;15.6;19.2;3.4;42.9;19.0
Spectrum 1 {35};13.318;-36.47;16.5;21.0;3.6;40.9;18.0
Spectrum 1 {36};17.819;-36.47;17.6;22.1;3.1;40.6;16.6
Spectrum 1 {37};22.32;-36.47;18.9;23.3;3.0;39.4;15.4
Spectrum 1 {38};26.82;-36.47;19.4;23.9;2.9;39.6;14.1
Spectrum 1 {46};-31.67;-31.969;10.0;7.7;8.1;46.1;28.0
Spectrum 1 {47};-27.171;-31.969;10.1;8.8;7.1;46.9;27.2
Spectrum 1 {48};-22.67;-31.969;10.3;9.5;5.3;49.0;25.9
Spectrum 1 {49};-18.171;-31.969;11.2;10.0;6.5;46.8;25.4
Spectrum 1 {50};-13.67;-31.969;12.5;12.2;5.3;47.0;22.9
Spectrum 1 {51};-9.169;-31.969;14.0;12.1;4.2;47.3;22.4
Spectrum 1 {52};-4.669;-31.969;13.7;14.4;4.9;45.2;21.8
Spectrum 1 {53};-0.169;-31.969;15.0;14.6;4.1;46.3;20.0
Spectrum 1 {54};4.318;-31.969;16.1;17.3;4.8;43.6;18.2
Spectrum 1 {55};8.819;-31.969;16.4;18.3;4.2;43.7;17.4
Spectrum 1 {56};13.32;-31.969;17.5;18.8;4.1;43.0;16.6
Spectrum 1 {57};17.819;-31.969;19.4;20.7;2.7;41.9;15.2
Spectrum 1 {58};22.32;-31.969;19.3;21.6;3.7;40.9;14.6
Spectrum 1 {59};26.819;-31.969;20.2;23.0;4.2;40.2;12.5
Spectrum 1 {60};31.32;-31.969;20.6;24.8;3.5;39.3;11.8
Spectrum 1 {66};-36.169;-27.464;9.4;6.6;8.1;49.4;26.5
Spectrum 1 {67};-31.672;-27.464;10.5;7.8;6.9;49.8;25.1
Spectrum 1 {68};-27.171;-27.464;11.6;8.3;6.5;48.5;25.1
Spectrum 1 {69};-22.669;-27.464;10.3;9.0;6.3;50.3;24.0
Spectrum 1 {70};-18.168;-27.464;11.6;10.2;5.1;50.3;22.8
Spectrum 1 {71};-13.669;-27.464;13.1;10.6;4.7;50.1;21.5
Spectrum 1 {72};-9.17;-27.464;14.0;12.2;5.1;47.7;21.0
Spectrum 1 {73};-4.669;-27.464;15.1;13.3;4.8;48.0;18.8
Spectrum 1 {74};-0.169;-27.464;16.0;14.2;3.7;46.9;19.2
Spectrum 1 {75};4.321;-27.464;16.6;15.5;5.2;45.5;17.2
Spectrum 1 {76};8.819;-27.464;17.0;17.1;3.1;46.8;16.0
Spectrum 1 {77};13.319;-27.464;17.9;18.4;3.9;44.9;14.8
Spectrum 1 {78};17.82;-27.464;19.6;19.6;2.7;45.0;13.1
Spectrum 1 {79};22.32;-27.464;19.7;21.0;3.4;42.6;13.3
Spectrum 1 {80};26.82;-27.464;20.8;22.4;3.8;42.0;11.1
Spectrum 1 {81};31.321;-27.464;22.1;23.9;1.6;40.8;11.6
Spectrum 1 {82};35.818;-27.464;23.8;24.8;1.6;39.6;10.1
Spectrum 1 {86};-40.67;-22.967;7.9;6.2;7.4;52.9;25.7
Spectrum 1 {87};-36.17;-22.967;9.5;6.7;7.6;52.7;23.6
Spectrum 1 {88};-31.669;-22.967;10.1;6.7;7.5;52.2;23.5
Spectrum 1 {89};-27.17;-22.967;10.5;7.4;6.0;53.7;22.4
Spectrum 1 {90};-22.668;-22.967;11.5;7.6;5.5;53.3;22.1
Spectrum 1 {91};-18.168;-22.967;12.5;8.7;5.3;53.5;20.1
Spectrum 1 {92};-13.67;-22.967;13.1;9.2;5.2;52.3;20.0
