Index,Ag,Au,Cu,Pd,Pt
1,5.56,1.85,8.1,2.78,81.71
2,4.6,0.73,7.75,2.91,84.02
3,6.09,2.58,8.2,1.17,81.97
4,7.0,1.68,7.84,3.64,79.83
5,7.39,1.32,8.97,5.01,77.31
6,8.26,1.53,7.95,4.59,77.68
7,7.96,2.23,6.37,5.1,78.34
8,8.47,3.26,7.82,4.56,75.9
9,9.25,2.4,6.51,6.51,75.34
10,9.21,3.29,8.88,7.24,71.38
11,11.4,5.88,8.09,6.62,68.01
12,4.88,0.7,5.58,3.49,85.35
13,4.26,0.24,6.38,3.07,86.05
14,6.05,1.69,8.72,2.18,81.36
15,6.28,-0.25,8.29,2.51,83.17
16,5.51,1.25,8.77,4.26,80.2
17,7.45,1.33,6.12,4.79,80.32
18,8.68,1.96,7.84,4.2,77.31
19,8.51,1.52,8.21,5.17,76.6
20,9.54,1.97,9.21,5.26,74.01
21,8.22,3.29,9.87,6.58,72.04
22,9.82,3.16,8.77,6.32,71.93
23,11.89,4.55,6.99,6.29,70.28
24,11.66,3.53,9.54,8.48,66.78
25,3.61,0.42,8.7,2.34,84.93
26,4.87,-0.66,6.64,3.76,85.4
27,5.63,-1.3,8.66,3.03,83.98
28,5.1,0.49,9.71,3.16,81.55
29,6.2,0.74,10.17,3.47,79.4
30,6.53,1.57,8.88,4.18,78.85
31,7.71,2.0,9.14,4.0,77.14
32,8.57,0.86,8.57,5.43,76.57
33,9.42,0.32,9.09,5.52,75.65
34,9.51,1.53,9.2,5.21,74.54
35,10.07,2.68,6.71,6.04,74.5
36,12.29,1.33,9.63,6.31,70.43
37,11.47,3.94,9.32,6.45,68.82
38,12.41,3.28,9.85,7.3,67.15
39,13.52,3.56,7.47,8.9,66.55
40,3.59,-0.84,8.02,2.53,86.71
41,3.68,-0.65,9.31,3.25,84.42
42,4.77,0.43,9.33,2.6,82.86
43,5.82,-1.79,8.72,3.58,83.67
44,5.6,-0.51,9.67,3.31,81.93
45,7.86,0.0,8.13,3.79,80.22
46,6.99,1.55,9.59,3.89,77.98
47,9.34,0.55,7.97,4.67,77.47
48,8.99,1.12,9.55,5.06,75.28
49,10.38,0.31,8.81,5.03,75.47
50,10.76,2.62,8.43,5.52,72.67
51,11.18,0.64,8.95,6.07,73.16
52,12.27,2.53,6.86,6.86,71.48
53,13.61,2.04,9.52,7.14,67.69
54,13.74,2.67,7.63,6.49,69.47
55,15.12,5.04,8.53,7.75,63.57
56,16.42,4.1,10.07,8.21,61.19
57,3.53,-1.66,8.11,1.87,88.15
58,3.9,-1.03,9.24,2.26,85.63
59,4.9,-0.43,8.74,1.28,85.5
60,5.18,-1.41,6.59,3.06,86.59
