Index,Ag,Au,Cu,Ni,Pd,Pt
1,8.81,7.69,9.62,0.26,67.47,6.41
2,7.44,7.59,8.35,0.19,71.47,5.16
3,7.22,6.95,7.63,0.23,73.02,5.18
4,6.97,7.24,6.97,0.24,73.68,5.13
5,7.5,5.88,5.38,0.29,77.0,4.25
6,7.31,6.21,5.72,0.22,76.74,4.02
7,7.13,6.12,6.24,0.24,77.06,3.45
8,6.84,6.11,4.21,0.29,79.37,3.47
9,7.12,5.6,4.17,0.27,80.26,2.85
10,6.78,5.44,4.82,0.34,80.46,2.5
11,6.47,5.38,2.86,0.35,82.86,2.44
12,8.01,7.51,8.01,0.26,69.78,6.68
13,7.51,7.8,7.37,0.19,71.39,5.92
14,8.51,6.89,8.92,0.29,70.41,5.27
15,8.66,6.72,6.72,0.28,73.73,4.18
16,8.57,7.03,6.52,0.2,73.79,4.09
17,8.18,6.14,5.29,0.29,76.17,4.21
18,8.56,6.59,4.94,0.26,75.85,4.06
19,6.67,6.25,5.52,0.35,77.81,3.75
20,7.03,5.08,5.3,0.29,78.92,3.68
21,7.98,5.16,5.16,0.24,78.79,2.92
22,6.97,4.9,5.09,0.27,80.4,2.64
23,7.33,4.62,4.28,0.25,80.72,3.05
24,6.85,4.46,4.31,0.25,82.08,2.31
25,8.6,7.1,10.84,0.14,66.36,7.1
26,9.22,7.03,11.25,0.31,65.62,6.88
27,7.45,6.23,9.57,0.17,71.12,5.62
28,9.2,7.3,8.47,0.27,70.22,4.82
29,8.1,6.59,8.79,0.16,71.84,4.67
30,8.42,6.14,6.5,0.2,74.61,4.33
31,8.19,6.17,5.69,0.18,75.68,4.27
32,9.39,5.7,7.04,0.18,74.41,3.46
33,9.07,5.31,6.42,0.2,76.0,3.21
34,7.88,5.32,5.86,0.33,77.96,2.98
35,7.93,5.12,5.92,0.28,78.21,2.81
36,8.63,4.73,5.1,0.27,78.76,2.78
37,7.1,4.76,4.24,0.22,81.82,2.08
38,7.82,4.61,4.38,0.33,81.24,1.95
39,7.65,4.48,3.99,0.3,82.0,1.87
40,9.98,6.72,12.34,0.22,64.07,6.9
41,8.63,7.11,8.63,0.19,68.36,7.28
42,9.22,7.0,8.43,0.26,68.84,6.52
43,9.99,6.41,9.09,0.22,69.0,5.51
44,8.99,6.04,8.99,0.21,70.79,5.2
45,8.93,6.0,8.27,0.2,71.87,4.93
46,9.86,4.99,9.4,0.22,70.88,4.87
47,8.65,5.8,7.74,0.25,74.29,3.53
48,7.95,5.65,8.06,0.21,74.77,3.57
49,9.32,5.11,6.61,0.28,75.65,3.31
50,8.15,5.14,6.22,0.27,77.71,2.79
51,8.35,4.17,5.63,0.24,78.83,3.01
52,7.31,4.26,5.4,0.3,80.33,2.7
53,7.87,4.23,4.82,0.35,80.46,2.62
54,7.52,4.56,5.68,0.32,79.92,2.32
55,7.39,3.82,3.9,0.29,82.7,2.19
56,7.15,4.29,3.92,0.37,82.61,2.03
57,8.44,7.41,11.52,0.15,65.02,7.61
58,9.0,6.9,12.64,0.16,64.75,6.7
59,9.53,6.86,11.37,0.2,66.05,6.19
60,8.86,6.28,10.47,0.25,68.28,6.12
61,9.86,6.53,9.86,0.18,68.44,5.31
62,8.18,5.36,10.12,0.22,71.58,4.76
63,8.97,5.57,8.56,0.08,72.55,4.35
64,10.24,5.3,8.07,0.2,72.29,4.1
65,8.86,5.13,8.97,0.3,73.54,3.5
66,9.32,5.2,5.42,0.21,76.49,3.58
67,8.82,4.74,6.39,0.32,76.52,3.53
68,9.06,4.43,6.26,0.34,77.46,2.79
69,7.77,4.23,6.0,0.3,78.86,3.15
70,10.18,4.34,5.31,0.21,77.7,2.48
71,8.46,4.23,4.48,0.43,80.75,2.07
72,8.36,3.73,4.55,0.37,81.19,2.16
73,7.89,3.8,3.73,0.39,82.38,2.19
74,7.22,3.54,3.82,0.28,83.44,1.98
75,8.33,3.36,3.01,0.24,83.48,1.82
76,10.41,6.64,13.29,0.17,62.12,7.54
77,9.04,6.91,13.65,0.23,63.3,7.09
78,10.6,5.87,11.42,0.17,66.23,5.87
79,10.81,5.68,12.16,0.21,65.81,5.54
80,9.38,6.81,10.74,0.11,68.23,4.84
81,9.26,5.7,10.97,0.24,69.09,4.99
82,11.3,4.93,9.62,0.27,69.23,4.93
83,10.42,5.46,8.77,0.21,71.79,3.56
84,10.47,5.23,8.6,0.29,71.98,3.72
85,9.81,4.63,7.97,0.25,74.57,3.02
86,8.8,4.4,6.8,0.36,76.3,3.7
87,10.25,3.96,7.1,0.34,75.27,3.42
88,9.7,4.02,7.35,0.35,76.1,2.84
89,8.65,4.11,6.21,0.23,78.5,2.53
90,9.32,4.09,5.84,0.27,78.22,2.53
91,9.49,4.23,3.81,0.4,80.18,2.29
92,8.1,4.37,4.44,0.3,81.08,2.01
93,7.26,3.81,4.89,0.42,82.39,1.65
94,7.91,3.65,3.85,0.36,82.81,1.79
95,11.38,6.25,15.18,0.16,58.71,8.48
96,9.6,6.34,14.67,0.22,61.78,7.61
97,11.23,5.96,13.86,0.14,62.63,6.32
98,10.54,5.53,12.78,0.15,64.77,6.39
99,10.37,5.33,12.15,0.15,66.96,5.19
100,10.18,5.16,11.06,0.23,67.85,5.75
101,9.5,5.1,11.16,0.2,69.56,4.68
102,10.56,5.08,10.84,0.25,69.27,4.25
103,10.64,5.5,8.07,0.13,71.7,4.09
104,10.9,4.61,7.87,0.36,73.03,3.6
