Index,Ag,Au,Pd,Pt
1,26.09,46.62,9.93,17.35
2,24.55,45.71,10.91,18.83
3,22.94,45.21,9.85,22.0
4,22.51,43.25,9.82,24.42
5,21.57,40.82,11.08,26.53
6,20.03,39.91,11.03,29.03
7,17.88,36.82,11.97,33.33
8,17.52,34.89,12.08,35.5
9,15.86,33.82,10.52,39.81
10,15.18,30.71,10.54,43.57
11,13.16,28.6,11.23,47.02
12,28.86,45.11,10.95,15.08
13,27.23,43.96,11.48,17.34
14,25.43,43.91,11.27,19.4
15,25.07,41.51,11.88,21.54
16,23.42,40.55,11.92,24.11
17,21.4,39.88,11.79,26.93
18,20.03,36.99,13.6,29.39
19,18.18,37.12,11.97,32.73
20,17.62,33.49,12.54,36.35
21,16.04,31.15,11.99,40.81
22,15.82,29.98,12.03,42.17
23,14.36,26.86,13.18,45.61
24,13.27,24.42,12.39,49.91
25,31.03,43.64,10.82,14.51
26,30.26,42.7,11.84,15.19
27,29.09,41.32,11.99,17.6
28,27.04,41.36,12.1,19.51
29,26.12,39.58,12.66,21.64
30,23.99,38.91,12.97,24.12
31,23.1,37.18,13.52,26.2
32,21.61,35.73,13.57,29.09
33,19.91,34.26,12.88,32.94
34,20.09,31.78,12.74,35.38
35,17.35,30.28,13.41,38.96
36,15.21,28.38,13.68,42.74
37,14.65,25.59,14.14,45.62
38,14.21,22.67,14.38,48.73
39,12.89,21.23,13.07,52.81
40,34.94,41.62,11.17,12.27
41,33.19,41.23,12.02,13.56
42,31.07,41.47,12.5,14.95
43,30.22,40.05,13.31,16.43
44,28.54,39.42,13.54,18.5
45,27.33,38.44,13.41,20.82
46,24.94,37.6,14.07,23.4
47,24.01,35.28,14.59,26.13
48,22.93,33.9,13.92,29.25
49,21.14,32.43,14.86,31.57
50,19.79,30.35,15.25,34.6
51,18.45,27.98,14.58,38.99
52,15.45,26.34,15.77,42.44
53,14.98,24.96,14.64,45.42
54,14.43,21.9,15.28,48.39
55,12.94,20.17,14.96,51.93
56,11.67,19.26,14.07,55.0
57,37.25,40.25,12.18,10.32
58,35.04,39.64,13.49,11.82
59,34.71,39.81,12.53,12.95
60,32.33,39.03,14.32,14.32
61,31.8,37.83,13.95,16.43
62,29.91,37.27,14.6,18.22
63,28.76,35.5,15.27,20.47
64,26.54,35.13,15.0,23.33
65,25.0,33.38,16.37,25.25
66,23.4,32.42,16.34,27.84
67,22.59,30.82,15.76,30.82
68,20.09,28.74,16.72,34.46
69,18.53,27.26,16.69,37.52
70,17.6,25.34,16.84,40.21
71,16.67,23.39,16.06,43.88
72,15.16,20.44,16.7,47.7
73,13.24,19.16,15.68,51.92
74,11.86,17.35,15.75,55.04
75,11.64,15.07,15.41,57.88
76,37.34,38.42,13.6,10.64
77,37.96,37.76,13.27,11.01
78,35.8,36.85,14.36,12.99
79,34.22,36.64,14.68,14.46
80,32.2,35.95,15.93,15.93
81,30.78,35.01,16.25,17.96
82,29.61,33.96,16.33,20.09
83,27.8,33.46,16.48,22.26
84,26.01,31.99,17.69,24.32
85,24.21,31.36,17.47,26.96
86,22.73,29.23,18.27,29.77
