Index,Cu,Pt
1,64.64,35.36
2,65.15,34.85
3,66.3,33.7
4,66.83,33.17
5,68.31,31.69
6,68.91,31.09
7,69.49,30.51
8,70.2,29.8
9,70.32,29.68
10,71.19,28.81
11,72.12,27.88
12,59.97,40.03
13,60.72,39.28
14,61.72,38.28
15,62.46,37.54
16,63.54,36.46
17,64.18,35.82
18,65.17,34.83
19,65.68,34.32
20,66.84,33.16
21,67.24,32.76
22,67.58,32.42
23,68.33,31.67
24,69.07,30.93
25,55.02,44.98
26,55.39,44.61
27,57.2,42.8
28,57.79,42.21
29,58.89,41.11
30,59.32,40.68
31,60.6,39.4
32,61.17,38.83
33,62.14,37.86
34,62.76,37.24
35,63.56,36.44
36,64.2,35.8
37,65.13,34.87
38,66.01,33.99
39,66.29,33.71
40,49.56,50.44
41,50.67,49.33
42,51.78,48.22
43,51.97,48.03
44,52.56,47.44
45,54.23,45.77
46,54.94,45.06
47,55.88,44.12
48,56.91,43.09
49,57.82,42.18
50,58.77,41.23
51,59.27,40.73
52,59.91,40.09
53,61.51,38.49
54,61.86,38.14
55,62.66,37.34
56,63.32,36.68
57,44.24,55.76
58,44.28,55.72
59,45.03,54.97
60,46.83,53.17
61,47.69,52.31
62,48.39,51.61
63,50.18,49.82
64,50.9,49.1
65,51.6,48.4
66,52.65,47.35
67,54.1,45.9
68,54.9,45.1
69,55.43,44.57
70,55.83,44.17
71,57.17,42.83
72,57.81,42.19
73,58.65,41.35
74,59.58,40.42
75,60.7,39.3
76,39.14,60.86
77,40.74,59.26
78,40.87,59.13
79,42.18,57.82
80,42.31,57.69
81,44.27,55.73
82,44.79,55.21
83,45.78,54.22
84,46.83,53.17
85,47.72,52.28
86,49.5,50.5
87,50.13,49.87
88,50.43,49.57
89,51.98,48.02
90,52.94,47.06
91,53.61,46.39
92,54.64,45.36
93,55.7,44.3
94,55.86,44.14
95,34.46,65.54
96,35.2,64.8
97,35.91,64.09
98,36.29,63.71
99,37.29,62.71
100,38.39,61.61
101,39.44,60.56
102,40.07,59.93
103,41.02,58.98
104,42.13,57.87
105,42.95,57.05
106,44.31,55.69
107,45.32,54.68
108,46.23,53.77
109,47.16,52.84
110,48.11,51.89
111,49.19,50.81
112,49.9,50.1
113,50.7,49.3
114,51.41,48.59
115,50.68,49.32
116,29.95,70.05
117,31.06,68.94
