;x;y;Rh;Pd;Pt
Spektrum 1 {6};-22.67;-40.969;91.4;4.0;4.5
Spektrum 1 {7};-18.169;-40.969;91.5;3.9;4.6
Spektrum 1 {8};-13.67;-40.969;90.2;5.0;4.8
Spektrum 1 {9};-9.17;-40.969;88.5;6.3;5.2
Spektrum 1 {10};-4.67;-40.969;87.7;6.9;5.4
Spektrum 1 {11};-0.171;-40.969;86.5;8.3;5.2
Spektrum 1 {12};4.319;-40.969;84.7;9.6;5.7
Spektrum 1 {13};8.819;-40.969;83.1;11.0;5.9
Spektrum 1 {14};13.319;-40.969;81.0;12.6;6.3
Spektrum 1 {15};17.819;-40.969;79.2;14.3;6.5
Spektrum 1 {16};22.319;-40.969;76.9;16.3;6.8
Spektrum 1 {26};-27.17;-36.47;91.3;3.8;4.9
Spektrum 1 {27};-22.669;-36.47;90.6;4.3;5.1
Spektrum 1 {28};-18.17;-36.47;89.1;5.6;5.3
Spektrum 1 {29};-13.669;-36.47;88.8;5.7;5.5
Spektrum 1 {30};-9.17;-36.47;87.5;6.8;5.7
Spektrum 1 {31};-4.668;-36.47;86.3;7.7;6.0
Spektrum 1 {32};-0.169;-36.47;84.9;8.9;6.2
Spektrum 1 {33};4.318;-36.47;83.5;10.0;6.5
Spektrum 1 {34};8.819;-36.47;81.4;11.9;6.7
Spektrum 1 {35};13.318;-36.47;79.2;14.0;6.9
Spektrum 1 {36};17.819;-36.47;76.4;16.2;7.4
Spektrum 1 {37};22.32;-36.47;74.9;17.8;7.4
Spektrum 1 {38};26.82;-36.47;72.0;20.4;7.6
Spektrum 1 {46};-31.67;-31.969;90.5;3.9;5.6
Spektrum 1 {47};-27.171;-31.969;89.4;5.1;5.5
Spektrum 1 {48};-22.67;-31.969;89.3;5.0;5.7
Spektrum 1 {49};-18.171;-31.969;88.4;5.5;6.0
Spektrum 1 {50};-13.67;-31.969;86.9;6.9;6.3
Spektrum 1 {51};-9.169;-31.969;85.4;8.2;6.3
Spektrum 1 {52};-4.669;-31.969;84.9;8.5;6.6
Spektrum 1 {53};-0.169;-31.969;82.6;10.6;6.9
Spektrum 1 {54};4.318;-31.969;81.0;11.7;7.3
Spektrum 1 {55};8.819;-31.969;79.5;13.1;7.4
Spektrum 1 {56};13.32;-31.969;76.7;15.7;7.6
Spektrum 1 {57};17.819;-31.969;74.6;17.6;7.8
Spektrum 1 {58};22.32;-31.969;71.7;20.3;8.0
Spektrum 1 {59};26.819;-31.969;69.2;22.8;8.0
Spektrum 1 {60};31.32;-31.969;66.6;24.9;8.5
Spektrum 1 {66};-36.169;-27.464;90.4;3.7;5.9
Spektrum 1 {67};-31.672;-27.464;89.7;4.1;6.2
Spektrum 1 {68};-27.171;-27.464;89.2;4.6;6.2
Spektrum 1 {69};-22.669;-27.464;87.2;6.3;6.5
