;x;y;Pd;Pt
Spektrum 1 {6};-22.67;-40.969;91.8;8.2
Spektrum 1 {7};-18.169;-40.969;92.0;8.0
Spektrum 1 {8};-13.67;-40.969;92.5;7.5
Spektrum 1 {9};-9.17;-40.969;92.7;7.3
Spektrum 1 {10};-4.67;-40.969;93.1;6.9
Spektrum 1 {11};-0.171;-40.969;93.1;6.9
Spektrum 1 {12};4.319;-40.969;93.2;6.8
Spektrum 1 {13};8.819;-40.969;93.3;6.7
Spektrum 1 {14};13.319;-40.969;93.8;6.2
Spektrum 1 {15};17.819;-40.969;93.6;6.4
Spektrum 1 {16};22.319;-40.969;93.9;6.1
Spektrum 1 {26};-27.17;-36.47;90.0;10.0
Spektrum 1 {27};-22.669;-36.47;90.4;9.6
Spektrum 1 {28};-18.17;-36.47;91.0;9.0
Spektrum 1 {29};-13.669;-36.47;91.1;8.9
Spektrum 1 {30};-9.17;-36.47;91.6;8.4
Spektrum 1 {31};-4.668;-36.47;91.8;8.2
Spektrum 1 {32};-0.169;-36.47;91.7;8.3
Spektrum 1 {33};4.318;-36.47;92.0;8.0
Spektrum 1 {34};8.819;-36.47;92.4;7.6
Spektrum 1 {35};13.318;-36.47;92.6;7.4
Spektrum 1 {36};17.819;-36.47;92.7;7.3
Spektrum 1 {37};22.32;-36.47;92.9;7.1
Spektrum 1 {38};26.82;-36.47;93.1;6.9
Spektrum 1 {46};-31.67;-31.969;88.3;11.7
Spektrum 1 {47};-27.171;-31.969;88.6;11.4
Spektrum 1 {48};-22.67;-31.969;88.8;11.2
Spektrum 1 {49};-18.171;-31.969;89.6;10.4
Spektrum 1 {50};-13.67;-31.969;89.7;10.3
Spektrum 1 {51};-9.169;-31.969;89.8;10.2
Spektrum 1 {52};-4.669;-31.969;90.2;9.8
Spektrum 1 {53};-0.169;-31.969;90.8;9.2
Spektrum 1 {54};4.318;-31.969;91.0;9.0
Spektrum 1 {55};8.819;-31.969;91.1;8.9
Spektrum 1 {56};13.32;-31.969;91.1;8.9
Spektrum 1 {57};17.819;-31.969;91.7;8.3
Spektrum 1 {58};22.32;-31.969;91.7;8.3
Spektrum 1 {59};26.819;-31.969;91.7;8.3
Spektrum 1 {60};31.32;-31.969;92.3;7.7
Spektrum 1 {66};-36.169;-27.464;86.1;13.9
Spektrum 1 {67};-31.672;-27.464;86.0;14.0
Spektrum 1 {68};-27.171;-27.464;86.6;13.4
