;x;y;Ru;Pd;Ag;Pt;Au
Spektrum 1 {6};-22.67;-40.969;81.8;2.5;6.6;2.3;6.8
Spektrum 1 {7};-18.169;-40.969;82.3;2.1;6.2;1.9;7.5
Spektrum 1 {8};-13.67;-40.969;81.4;2.8;5.2;2.2;8.4
Spektrum 1 {9};-9.17;-40.969;81.4;2.3;5.3;2.2;8.8
Spektrum 1 {10};-4.67;-40.969;79.7;2.8;5.0;2.3;10.2
Spektrum 1 {11};-0.171;-40.969;79.1;2.9;4.6;2.4;11.1
Spektrum 1 {12};4.319;-40.969;77.5;3.9;4.4;2.1;12.2
Spektrum 1 {13};8.819;-40.969;76.4;3.8;4.4;2.3;13.1
Spektrum 1 {14};13.319;-40.969;76.1;4.0;3.5;2.2;14.3
Spektrum 1 {15};17.819;-40.969;76.0;3.6;2.8;2.5;15.1
Spektrum 1 {16};22.319;-40.969;74.4;3.3;3.0;2.6;16.6
Spektrum 1 {26};-27.17;-36.47;81.5;2.4;7.9;2.1;6.2
Spektrum 1 {27};-22.669;-36.47;80.7;2.7;6.8;2.5;7.3
Spektrum 1 {28};-18.17;-36.47;81.0;2.2;6.6;2.1;8.0
Spektrum 1 {29};-13.669;-36.47;80.5;2.6;5.7;2.7;8.4
Spektrum 1 {30};-9.17;-36.47;79.8;2.8;5.5;2.4;9.5
Spektrum 1 {31};-4.668;-36.47;78.7;2.8;5.1;2.7;10.7
Spektrum 1 {32};-0.169;-36.47;78.8;3.1;4.4;2.7;11.0
Spektrum 1 {33};4.318;-36.47;76.7;3.5;4.7;2.5;12.5
Spektrum 1 {34};8.819;-36.47;75.7;3.5;4.5;2.6;13.8
Spektrum 1 {35};13.318;-36.47;75.4;3.8;3.5;2.6;14.6
Spektrum 1 {36};17.819;-36.47;74.8;4.1;2.7;2.8;15.7
Spektrum 1 {37};22.32;-36.47;72.7;4.6;3.7;2.9;16.1
Spektrum 1 {38};26.82;-36.47;72.0;4.6;2.6;3.0;17.8
Spektrum 1 {46};-31.67;-31.969;80.2;2.1;9.2;2.9;5.6
Spektrum 1 {47};-27.171;-31.969;80.2;2.1;8.4;2.8;6.4
Spektrum 1 {48};-22.67;-31.969;79.5;2.8;7.8;2.6;7.3
Spektrum 1 {49};-18.171;-31.969;80.0;2.4;7.0;2.6;8.0
Spektrum 1 {50};-13.67;-31.969;78.5;3.0;6.6;3.1;8.8
Spektrum 1 {51};-9.169;-31.969;78.2;3.2;6.0;2.7;9.8
Spektrum 1 {52};-4.669;-31.969;77.0;4.0;5.7;3.0;10.3
Spektrum 1 {53};-0.169;-31.969;77.0;3.3;5.2;3.0;11.5
Spektrum 1 {54};4.318;-31.969;76.2;3.4;4.5;3.1;12.8
Spektrum 1 {55};8.819;-31.969;74.9;3.8;4.4;3.0;13.9
Spektrum 1 {56};13.32;-31.969;74.2;3.8;4.0;3.0;15.0
Spektrum 1 {57};17.819;-31.969;71.8;4.4;4.6;3.0;16.2
Spektrum 1 {58};22.32;-31.969;71.6;4.7;3.6;2.8;17.4
Spektrum 1 {59};26.819;-31.969;69.4;5.6;3.7;3.0;18.3
Spektrum 1 {60};31.32;-31.969;68.7;5.3;3.4;3.3;19.3
Spektrum 1 {66};-36.169;-27.464;79.4;1.9;10.3;3.1;5.3
Spektrum 1 {67};-31.672;-27.464;80.3;1.5;9.2;2.9;6.0
Spektrum 1 {68};-27.171;-27.464;80.0;2.2;8.3;3.1;6.4
Spektrum 1 {69};-22.669;-27.464;78.2;3.0;8.7;3.0;7.1
Spektrum 1 {70};-18.168;-27.464;77.7;2.8;7.9;3.0;8.6
Spektrum 1 {71};-13.669;-27.464;77.4;2.9;7.1;3.2;9.3
Spektrum 1 {72};-9.17;-27.464;76.9;3.3;6.7;3.0;10.2
Spektrum 1 {73};-4.669;-27.464;75.7;3.4;6.5;3.2;11.1
Spektrum 1 {74};-0.169;-27.464;74.0;5.2;5.9;3.0;11.9
Spektrum 1 {75};4.321;-27.464;74.5;3.9;5.2;3.0;13.4
Spektrum 1 {76};8.819;-27.464;73.7;4.1;4.7;3.1;14.4
Spektrum 1 {77};13.319;-27.464;72.2;4.8;4.3;3.3;15.5
Spektrum 1 {78};17.82;-27.464;71.9;5.0;3.6;3.4;16.2
Spektrum 1 {79};22.32;-27.464;70.3;5.1;3.9;3.2;17.6
Spektrum 1 {80};26.82;-27.464;68.4;5.7;3.7;3.0;19.2
Spektrum 1 {81};31.321;-27.464;68.3;5.5;2.8;3.4;20.0
Spektrum 1 {82};35.818;-27.464;66.3;6.7;2.8;3.4;20.8
Spektrum 1 {86};-40.67;-22.967;78.8;1.3;11.8;3.2;4.9
Spektrum 1 {87};-36.17;-22.967;77.3;2.7;11.4;3.3;5.3
Spektrum 1 {88};-31.669;-22.967;78.0;1.8;10.8;3.4;6.1
Spektrum 1 {89};-27.17;-22.967;77.8;2.2;9.4;3.7;6.9
