;x;y;Ru;Pd;Ag;Pt;Au
Spektrum 1 {6};-22.67;-40.969;2.7;4.2;4.5;5.7;82.9
Spektrum 1 {7};-18.169;-40.969;3.3;5.2;5.4;5.5;80.5
Spektrum 1 {8};-13.67;-40.969;2.5;5.2;5.2;5.2;82.0
Spektrum 1 {9};-9.17;-40.969;2.7;7.2;5.0;5.2;79.9
Spektrum 1 {10};-4.67;-40.969;4.8;7.1;5.1;5.6;77.4
Spektrum 1 {11};-0.171;-40.969;5.4;8.8;5.1;4.9;75.8
Spektrum 1 {12};4.319;-40.969;5.4;9.1;5.0;5.4;75.1
Spektrum 1 {13};8.819;-40.969;6.3;11.2;4.9;5.7;71.8
Spektrum 1 {14};13.319;-40.969;6.7;12.4;5.3;4.8;70.8
Spektrum 1 {15};17.819;-40.969;7.1;14.0;5.1;5.1;68.7
Spektrum 1 {16};22.319;-40.969;9.2;15.1;4.9;4.9;65.9
Spektrum 1 {26};-27.17;-36.47;2.8;4.1;5.8;5.9;81.3
Spektrum 1 {27};-22.669;-36.47;2.5;4.3;6.0;6.0;81.1
Spektrum 1 {28};-18.17;-36.47;2.3;5.0;5.9;5.9;80.8
Spektrum 1 {29};-13.669;-36.47;4.0;5.3;5.3;5.6;79.9
Spektrum 1 {30};-9.17;-36.47;4.3;6.3;6.0;5.4;78.0
Spektrum 1 {31};-4.668;-36.47;4.2;7.3;5.6;6.1;76.8
Spektrum 1 {32};-0.169;-36.47;5.4;8.5;4.8;5.5;75.8
Spektrum 1 {33};4.318;-36.47;5.9;9.2;5.2;5.6;74.1
Spektrum 1 {34};8.819;-36.47;6.6;10.4;5.8;5.8;71.4
Spektrum 1 {35};13.318;-36.47;7.6;11.9;5.2;5.8;69.5
Spektrum 1 {36};17.819;-36.47;7.8;14.2;5.0;5.4;67.6
Spektrum 1 {37};22.32;-36.47;7.8;15.9;5.8;6.1;64.3
Spektrum 1 {38};26.82;-36.47;11.5;17.5;6.5;4.7;59.8
Spektrum 1 {46};-31.67;-31.969;1.5;3.5;6.6;5.4;83.0
Spektrum 1 {47};-27.171;-31.969;3.5;3.6;5.7;5.6;81.6
Spektrum 1 {48};-22.67;-31.969;3.0;4.0;6.6;5.8;80.5
Spektrum 1 {49};-18.171;-31.969;3.2;5.4;5.7;6.2;79.6
Spektrum 1 {50};-13.67;-31.969;3.4;5.8;5.8;6.3;78.7
Spektrum 1 {51};-9.169;-31.969;3.8;6.7;6.0;6.2;77.4
Spektrum 1 {52};-4.669;-31.969;5.8;8.0;5.6;6.0;74.6
Spektrum 1 {53};-0.169;-31.969;5.4;8.6;5.9;5.4;74.7
Spektrum 1 {54};4.318;-31.969;7.3;10.4;5.4;5.8;71.2
Spektrum 1 {55};8.819;-31.969;6.4;11.3;5.9;6.1;70.3
Spektrum 1 {56};13.32;-31.969;8.3;12.2;5.4;5.2;68.8
Spektrum 1 {57};17.819;-31.969;9.1;13.7;6.0;5.8;65.3
Spektrum 1 {58};22.32;-31.969;10.6;15.1;5.0;6.3;63.0
Spektrum 1 {59};26.819;-31.969;11.9;16.7;5.1;5.9;60.3
Spektrum 1 {60};31.32;-31.969;12.9;18.2;5.5;4.6;58.8
Spektrum 1 {66};-36.169;-27.464;3.1;2.3;7.2;5.6;81.8
Spektrum 1 {67};-31.672;-27.464;2.4;3.7;7.3;5.9;80.7
Spektrum 1 {68};-27.171;-27.464;3.4;3.5;6.5;5.7;80.9
Spektrum 1 {69};-22.669;-27.464;3.8;4.3;6.0;6.5;79.3
Spektrum 1 {70};-18.168;-27.464;3.9;4.6;6.5;6.0;79.1
Spektrum 1 {71};-13.669;-27.464;4.6;6.6;5.8;6.1;76.9
Spektrum 1 {72};-9.17;-27.464;5.8;6.4;5.9;6.4;75.5
Spektrum 1 {73};-4.669;-27.464;5.6;7.1;6.2;6.1;75.0
Spektrum 1 {74};-0.169;-27.464;6.2;8.9;5.3;6.7;73.0
Spektrum 1 {75};4.321;-27.464;7.6;9.4;5.2;6.3;71.6
Spektrum 1 {76};8.819;-27.464;8.9;10.8;6.3;6.1;67.9
Spektrum 1 {77};13.319;-27.464;9.4;11.0;5.9;6.6;67.1
Spektrum 1 {78};17.82;-27.464;10.0;14.0;5.6;6.0;64.4
Spektrum 1 {79};22.32;-27.464;10.7;15.3;5.9;5.9;62.1
Spektrum 1 {80};26.82;-27.464;12.3;17.7;6.0;6.3;57.7
Spektrum 1 {81};31.321;-27.464;12.5;18.9;6.4;6.1;56.0
Spektrum 1 {82};35.818;-27.464;13.7;20.7;5.7;6.1;53.8
Spektrum 1 {86};-40.67;-22.967;2.3;2.3;8.2;6.4;80.9
Spektrum 1 {87};-36.17;-22.967;2.5;2.5;7.8;6.3;80.9
Spektrum 1 {88};-31.669;-22.967;3.6;3.4;7.2;6.6;79.2
Spektrum 1 {89};-27.17;-22.967;3.8;3.9;7.8;6.0;78.5
Spektrum 1 {90};-22.668;-22.967;3.5;3.8;7.5;6.4;78.8
Spektrum 1 {91};-18.168;-22.967;5.3;3.7;7.0;6.3;77.7
Spektrum 1 {92};-13.67;-22.967;4.3;5.9;7.3;6.7;75.8
Spektrum 1 {93};-9.169;-22.967;5.7;6.5;6.1;6.8;74.9
Spektrum 1 {94};-4.671;-22.967;5.9;7.5;6.1;7.0;73.6
Spektrum 1 {95};-0.171;-22.967;7.1;8.7;6.1;5.5;72.5
Spektrum 1 {96};4.32;-22.967;7.8;10.2;6.3;6.3;69.4
Spektrum 1 {97};8.819;-22.967;9.8;10.8;5.9;6.5;67.1
Spektrum 1 {98};13.318;-22.967;8.6;11.7;6.2;6.7;66.8
Spektrum 1 {99};17.82;-22.967;11.1;13.3;6.2;5.9;63.5
Spektrum 1 {100};22.32;-22.967;12.4;15.7;6.5;7.2;58.2
Spektrum 1 {101};26.82;-22.967;12.7;16.9;6.1;6.1;58.2
Spektrum 1 {102};31.318;-22.967;14.7;18.7;6.3;6.1;54.2
Spektrum 1 {103};35.819;-22.967;15.9;20.9;6.6;5.6;50.9
Spektrum 1 {104};40.318;-22.967;17.8;21.7;7.2;5.6;47.7
Spektrum 1 {107};-40.671;-18.467;2.8;2.1;8.6;6.0;80.5
Spektrum 1 {108};-36.169;-18.467;3.9;2.8;9.0;6.6;77.7
Spektrum 1 {109};-31.67;-18.467;4.2;3.8;8.5;6.7;76.8
Spektrum 1 {110};-27.169;-18.467;4.6;3.4;8.0;6.7;77.3
Spektrum 1 {111};-22.669;-18.467;4.6;4.2;7.8;7.1;76.3
Spektrum 1 {112};-18.168;-18.467;5.1;4.9;7.4;7.1;75.5
Spektrum 1 {113};-13.671;-18.467;6.0;6.3;6.3;7.1;74.2
Spektrum 1 {114};-9.169;-18.467;6.1;6.3;7.2;7.4;73.0
Spektrum 1 {115};-4.668;-18.467;7.0;7.6;6.8;6.8;71.7
Spektrum 1 {116};-0.169;-18.467;7.5;8.8;6.9;6.9;70.0
Spektrum 1 {117};4.32;-18.467;9.7;9.3;7.0;7.2;66.9
Spektrum 1 {118};8.819;-18.467;10.2;10.8;6.5;6.7;65.6
Spektrum 1 {119};13.32;-18.467;11.3;11.8;7.1;6.9;63.0
Spektrum 1 {120};17.818;-18.467;11.1;13.7;6.5;7.0;61.7
Spektrum 1 {121};22.32;-18.467;14.8;14.2;5.7;6.7;58.5
Spektrum 1 {122};26.82;-18.467;15.0;16.8;6.7;5.6;55.9
Spektrum 1 {123};31.32;-18.467;16.3;17.8;6.1;6.4;53.4
Spektrum 1 {124};35.82;-18.467;16.7;19.2;7.4;6.5;50.2
Spektrum 1 {125};40.318;-18.467;18.6;22.3;5.3;6.3;47.5
Spektrum 1 {127};-45.167;-13.964;3.4;2.2;9.2;6.7;78.4
Spektrum 1 {128};-40.672;-13.964;3.3;1.8;9.2;7.0;78.7
Spektrum 1 {129};-36.17;-13.964;3.1;2.3;9.8;6.7;78.0
Spektrum 1 {130};-31.67;-13.964;3.7;3.7;9.3;7.0;76.4
Spektrum 1 {131};-27.171;-13.964;4.7;3.6;8.3;6.8;76.7
Spektrum 1 {132};-22.67;-13.964;4.4;5.0;8.8;7.3;74.4
Spektrum 1 {133};-18.168;-13.964;6.0;4.6;8.5;6.6;74.3
Spektrum 1 {134};-13.669;-13.964;5.6;6.0;7.9;7.0;73.4
Spektrum 1 {135};-9.169;-13.964;7.2;6.7;7.8;7.2;71.0
Spektrum 1 {136};-4.668;-13.964;8.9;7.2;6.2;7.2;70.4
Spektrum 1 {137};-0.168;-13.964;8.8;9.2;7.4;6.9;67.7
Spektrum 1 {138};4.319;-13.964;9.8;9.6;6.8;7.5;66.2
Spektrum 1 {139};8.819;-13.964;11.8;10.9;6.8;7.4;63.0
Spektrum 1 {140};13.319;-13.964;12.1;12.1;7.1;7.1;61.6
Spektrum 1 {141};17.819;-13.964;13.3;13.5;6.4;6.9;59.9
