;x;y;Ru;Rh;Pd;Ir;Pt
Spektrum 1 {6};-22.67;-40.969;20.2;50.0;4.4;17.0;8.4
Spektrum 1 {7};-18.169;-40.969;18.0;49.0;6.1;18.5;8.4
Spektrum 1 {8};-13.67;-40.969;17.8;46.6;6.8;20.5;8.3
Spektrum 1 {9};-9.17;-40.969;16.5;44.4;8.1;23.1;7.9
Spektrum 1 {10};-4.67;-40.969;16.1;42.9;7.1;25.5;8.4
Spektrum 1 {11};-0.171;-40.969;14.9;39.9;9.1;28.7;7.4
Spektrum 1 {12};4.319;-40.969;14.2;37.9;10.0;30.5;7.4
Spektrum 1 {13};8.819;-40.969;12.6;36.3;10.6;32.9;7.6
Spektrum 1 {14};13.319;-40.969;12.8;33.1;11.2;35.3;7.6
Spektrum 1 {15};17.819;-40.969;11.3;31.9;11.1;38.4;7.3
Spektrum 1 {16};22.319;-40.969;9.8;29.7;12.7;40.9;6.8
Spektrum 1 {26};-27.17;-36.47;21.2;48.4;5.9;15.6;8.9
Spektrum 1 {27};-22.669;-36.47;20.0;47.4;6.6;17.2;8.8
Spektrum 1 {28};-18.17;-36.47;19.6;46.3;6.6;18.2;9.3
Spektrum 1 {29};-13.669;-36.47;18.5;43.7;7.8;20.6;9.4
Spektrum 1 {30};-9.17;-36.47;17.0;42.3;8.2;23.1;9.3
Spektrum 1 {31};-4.668;-36.47;16.8;40.3;9.3;24.6;9.0
Spektrum 1 {32};-0.169;-36.47;15.0;38.4;10.4;27.3;8.9
Spektrum 1 {33};4.318;-36.47;14.4;36.0;10.0;31.0;8.5
Spektrum 1 {34};8.819;-36.47;14.2;33.6;12.1;32.1;8.0
Spektrum 1 {35};13.318;-36.47;13.0;31.3;12.3;35.8;7.6
Spektrum 1 {36};17.819;-36.47;11.4;29.6;13.4;38.2;7.4
Spektrum 1 {37};22.32;-36.47;11.2;28.2;13.2;40.3;7.0
Spektrum 1 {38};26.82;-36.47;10.0;26.3;13.4;43.4;6.9
Spektrum 1 {46};-31.67;-31.969;24.0;47.0;5.5;13.1;10.4
Spektrum 1 {47};-27.171;-31.969;21.8;46.9;6.3;14.8;10.2
Spektrum 1 {48};-22.67;-31.969;20.8;45.0;7.0;16.3;11.0
Spektrum 1 {49};-18.171;-31.969;20.3;43.9;7.1;18.4;10.4
Spektrum 1 {50};-13.67;-31.969;19.1;41.6;9.2;20.2;9.8
Spektrum 1 {51};-9.169;-31.969;17.9;41.0;8.9;22.6;9.5
Spektrum 1 {52};-4.669;-31.969;16.9;38.6;9.6;24.9;10.0
Spektrum 1 {53};-0.169;-31.969;15.5;36.4;10.4;27.6;10.1
Spektrum 1 {54};4.318;-31.969;15.5;35.0;10.1;29.8;9.6
Spektrum 1 {55};8.819;-31.969;13.6;33.1;12.1;32.1;9.2
Spektrum 1 {56};13.32;-31.969;12.9;31.1;12.9;34.3;8.8
Spektrum 1 {57};17.819;-31.969;12.6;28.4;13.8;36.4;8.8
Spektrum 1 {58};22.32;-31.969;11.5;26.1;15.2;39.4;7.8
Spektrum 1 {59};26.819;-31.969;10.9;24.0;16.2;41.3;7.6
Spektrum 1 {60};31.32;-31.969;10.0;21.6;16.7;44.8;7.0
Spektrum 1 {66};-36.169;-27.464;25.6;45.9;5.0;12.0;11.4
Spektrum 1 {67};-31.672;-27.464;23.9;45.7;5.9;13.2;11.2
Spektrum 1 {68};-27.171;-27.464;23.5;44.4;5.9;14.6;11.7
Spektrum 1 {69};-22.669;-27.464;22.4;42.9;6.9;16.7;11.1
Spektrum 1 {70};-18.168;-27.464;20.8;41.7;7.8;18.5;11.2
Spektrum 1 {71};-13.669;-27.464;20.4;39.8;8.8;20.0;11.1
Spektrum 1 {72};-9.17;-27.464;18.9;39.0;8.9;22.4;10.9
Spektrum 1 {73};-4.669;-27.464;17.6;37.0;10.5;24.5;10.4
Spektrum 1 {74};-0.169;-27.464;16.6;34.5;11.4;27.1;10.5
Spektrum 1 {75};4.321;-27.464;15.2;33.3;12.2;28.9;10.4
Spektrum 1 {76};8.819;-27.464;14.0;30.9;12.6;31.9;10.5
Spektrum 1 {77};13.319;-27.464;13.2;29.5;13.9;33.4;10.0
Spektrum 1 {78};17.82;-27.464;11.9;27.3;14.7;36.1;9.9
Spektrum 1 {79};22.32;-27.464;11.7;24.0;16.6;39.0;8.7
Spektrum 1 {80};26.82;-27.464;11.1;23.3;16.1;40.6;8.9
Spektrum 1 {81};31.321;-27.464;10.6;21.1;16.6;43.4;8.2
Spektrum 1 {82};35.818;-27.464;9.9;19.1;17.7;46.0;7.2
Spektrum 1 {86};-40.67;-22.967;27.2;44.6;5.4;11.2;11.6
Spektrum 1 {87};-36.17;-22.967;26.1;44.2;6.1;11.7;12.0
Spektrum 1 {88};-31.669;-22.967;24.8;42.7;6.8;13.0;12.6
Spektrum 1 {89};-27.17;-22.967;23.6;41.8;7.5;14.3;12.7
Spektrum 1 {90};-22.668;-22.967;22.7;41.1;7.7;16.1;12.5
Spektrum 1 {91};-18.168;-22.967;21.1;38.7;8.8;18.9;12.5
Spektrum 1 {92};-13.67;-22.967;20.0;37.9;9.9;19.9;12.2
Spektrum 1 {93};-9.169;-22.967;19.1;36.6;9.7;22.2;12.4
Spektrum 1 {94};-4.671;-22.967;17.8;33.2;12.0;24.2;12.8
Spektrum 1 {95};-0.171;-22.967;16.9;32.7;12.5;26.3;11.7
Spektrum 1 {96};4.32;-22.967;17.0;30.5;13.0;28.6;10.9
Spektrum 1 {97};8.819;-22.967;14.7;29.4;14.7;30.3;10.9
Spektrum 1 {98};13.318;-22.967;14.1;27.2;14.2;33.3;11.3
Spektrum 1 {99};17.82;-22.967;12.5;26.4;15.6;35.0;10.6
Spektrum 1 {100};22.32;-22.967;12.2;23.2;16.6;38.4;9.7
Spektrum 1 {101};26.82;-22.967;11.3;21.9;17.3;40.2;9.3
Spektrum 1 {102};31.318;-22.967;10.4;19.9;19.4;41.9;8.4
Spektrum 1 {103};35.819;-22.967;10.3;18.5;19.4;43.5;8.3
Spektrum 1 {104};40.318;-22.967;8.9;16.7;20.8;45.2;8.3
Spektrum 1 {107};-40.671;-18.467;28.2;41.4;6.3;10.6;13.4
Spektrum 1 {108};-36.169;-18.467;26.1;42.6;6.1;11.7;13.6
Spektrum 1 {109};-31.67;-18.467;25.9;40.8;6.3;13.1;13.9
Spektrum 1 {110};-27.169;-18.467;24.4;39.0;8.2;14.5;13.8
Spektrum 1 {111};-22.669;-18.467;23.7;38.0;8.3;15.7;14.3
Spektrum 1 {112};-18.168;-18.467;22.3;36.9;9.2;17.5;14.2
Spektrum 1 {113};-13.671;-18.467;20.0;36.0;9.9;19.7;14.4
Spektrum 1 {114};-9.169;-18.467;19.5;34.9;10.4;21.7;13.4
Spektrum 1 {115};-4.668;-18.467;18.4;33.5;11.5;22.8;13.8
Spektrum 1 {116};-0.169;-18.467;17.4;30.8;12.4;26.2;13.2
Spektrum 1 {117};4.32;-18.467;16.9;29.1;13.2;28.4;12.4
Spektrum 1 {118};8.819;-18.467;15.2;28.1;13.9;30.1;12.7
Spektrum 1 {119};13.32;-18.467;14.1;25.3;16.1;32.3;12.2
Spektrum 1 {120};17.818;-18.467;12.9;23.6;17.2;34.8;11.5
Spektrum 1 {121};22.32;-18.467;11.6;22.6;17.6;37.4;10.8
Spektrum 1 {122};26.82;-18.467;10.7;20.5;18.9;39.9;10.0
Spektrum 1 {123};31.32;-18.467;10.0;18.7;20.6;40.7;9.9
Spektrum 1 {124};35.82;-18.467;9.5;15.7;21.9;43.2;9.7
Spektrum 1 {125};40.318;-18.467;8.6;15.8;22.0;44.4;9.1
Spektrum 1 {127};-45.167;-13.964;29.8;40.8;6.0;9.1;14.2
Spektrum 1 {128};-40.672;-13.964;28.6;39.9;6.4;10.3;14.8
Spektrum 1 {129};-36.17;-13.964;27.5;39.4;6.3;11.1;15.6
Spektrum 1 {130};-31.67;-13.964;26.6;38.0;7.6;12.6;15.2
Spektrum 1 {131};-27.171;-13.964;25.3;37.6;7.4;13.9;15.7
Spektrum 1 {132};-22.67;-13.964;23.9;35.7;9.4;15.3;15.6
Spektrum 1 {133};-18.168;-13.964;22.4;35.2;10.1;17.5;14.9
Spektrum 1 {134};-13.669;-13.964;21.4;33.9;10.0;19.0;15.7
Spektrum 1 {135};-9.169;-13.964;20.7;32.4;10.8;20.7;15.3
Spektrum 1 {136};-4.668;-13.964;19.4;31.0;12.1;22.9;14.7
Spektrum 1 {137};-0.168;-13.964;17.4;28.3;14.2;25.2;14.8
Spektrum 1 {138};4.319;-13.964;16.1;26.8;15.4;27.1;14.7
Spektrum 1 {139};8.819;-13.964;15.0;26.0;15.2;29.8;14.0
Spektrum 1 {140};13.319;-13.964;13.8;23.5;17.4;31.7;13.6
Spektrum 1 {141};17.819;-13.964;13.0;22.6;18.1;33.4;12.9
Spektrum 1 {142};22.32;-13.964;12.8;20.1;18.4;36.6;12.1
Spektrum 1 {143};26.819;-13.964;11.2;17.4;20.8;38.3;12.3
Spektrum 1 {144};31.32;-13.964;11.0;18.3;20.7;39.1;10.9
Spektrum 1 {145};35.819;-13.964;9.6;16.4;21.3;41.9;10.8
Spektrum 1 {146};40.319;-13.964;8.8;14.6;22.7;44.1;9.8
Spektrum 1 {147};44.819;-13.964;8.5;14.0;23.7;44.9;8.9
Spektrum 1 {148};-45.169;-9.466;30.5;38.3;6.1;9.1;16.0
Spektrum 1 {149};-40.67;-9.466;30.0;38.5;5.3;9.9;16.3
Spektrum 1 {150};-36.171;-9.466;28.4;37.5;6.7;11.0;16.4
Spektrum 1 {151};-31.671;-9.466;27.0;35.4;8.0;12.5;17.2
Spektrum 1 {152};-27.171;-9.466;25.4;35.3;8.9;13.6;16.7
Spektrum 1 {153};-22.669;-9.466;24.4;34.0;9.4;14.9;17.3
Spektrum 1 {154};-18.17;-9.466;23.0;32.0;10.4;16.8;17.7
Spektrum 1 {155};-13.669;-9.466;22.0;31.9;11.6;18.0;16.6
Spektrum 1 {156};-9.169;-9.466;21.0;29.9;12.2;20.4;16.5
Spektrum 1 {157};-4.668;-9.466;18.8;28.9;13.8;22.2;16.3
Spektrum 1 {158};-0.17;-9.466;18.5;26.7;13.9;24.7;16.2
Spektrum 1 {159};4.318;-9.466;17.1;25.7;15.2;26.0;16.0
Spektrum 1 {160};8.819;-9.466;16.2;24.5;16.7;27.6;15.0
Spektrum 1 {161};13.32;-9.466;15.7;22.7;16.9;30.2;14.5
Spektrum 1 {162};17.821;-9.466;12.8;20.7;19.9;32.1;14.5
Spektrum 1 {163};22.32;-9.466;13.4;19.3;20.6;33.8;12.9
Spektrum 1 {164};26.82;-9.466;11.7;18.0;20.4;36.6;13.3
Spektrum 1 {165};31.318;-9.466;10.9;15.7;22.6;38.7;12.0
Spektrum 1 {166};35.821;-9.466;9.9;15.2;23.6;40.6;10.8
Spektrum 1 {167};40.319;-9.466;9.8;14.3;24.5;41.4;9.9
Spektrum 1 {168};44.82;-9.466;9.4;12.1;25.4;43.4;9.8
