,x,y,time,R,I,V
0,-22500,-40500,2024-05-13 12:01:45.882869,1.530516,0.0499981,0.0765229
1,-22500,-40500,2024-05-13 12:01:46.074881,1.529611,0.04999802,0.07647749
2,-22500,-40500,2024-05-13 12:01:46.257776,1.529631,0.04999804,0.07647856
3,-22500,-40500,2024-05-13 12:01:46.448329,1.529682,0.04999806,0.07648112
4,-22500,-40500,2024-05-13 12:01:46.630184,1.531128,0.04999805,0.07655343
5,-22500,-40500,2024-05-13 12:01:46.820417,1.530443,0.04999805,0.07651919
6,-22500,-40500,2024-05-13 12:01:47.002858,1.530398,0.04999809,0.076517
7,-22500,-40500,2024-05-13 12:01:47.192563,1.530348,0.04999805,0.07651442
8,-22500,-40500,2024-05-13 12:01:47.373908,1.530516,0.0499981,0.0765229
9,-22500,-40500,2024-05-13 12:01:47.564023,1.530421,0.04999805,0.07651809
10,-22500,-40500,2024-05-13 12:01:48.213880,1.530348,0.04999805,0.07651442
11,-22500,-40500,2024-05-13 12:01:48.404880,1.529611,0.04999802,0.07647749
12,-22500,-40500,2024-05-13 12:01:48.587563,1.531128,0.04999805,0.07655343
13,-22500,-40500,2024-05-13 12:01:48.778045,1.530348,0.04999805,0.07651442
14,-22500,-40500,2024-05-13 12:01:48.960681,1.531128,0.04999805,0.07655343
15,-22500,-40500,2024-05-13 12:01:49.141984,1.530398,0.04999809,0.076517
16,-22500,-40500,2024-05-13 12:01:49.332240,1.530421,0.04999805,0.07651809
17,-22500,-40500,2024-05-13 12:01:49.514294,1.529563,0.04999806,0.07647517
18,-22500,-40500,2024-05-13 12:01:49.708873,1.529631,0.04999804,0.07647856
19,-22500,-40500,2024-05-13 12:01:49.898765,1.529665,0.04999809,0.07648035
20,-22500,-40500,2024-05-13 12:01:50.531921,1.530421,0.04999805,0.07651809
21,-22500,-40500,2024-05-13 12:01:50.722944,1.529563,0.04999806,0.07647517
22,-22500,-40500,2024-05-13 12:01:50.906840,1.530348,0.04999805,0.07651442
23,-22500,-40500,2024-05-13 12:01:51.098442,1.529682,0.04999806,0.07648112
24,-22500,-40500,2024-05-13 12:01:51.280998,1.529611,0.04999802,0.07647749
25,-22500,-40500,2024-05-13 12:01:51.471583,1.529611,0.04999802,0.07647749
26,-22500,-40500,2024-05-13 12:01:51.652980,1.530421,0.04999805,0.07651809
27,-22500,-40500,2024-05-13 12:01:51.844392,1.530443,0.04999805,0.07651919
28,-22500,-40500,2024-05-13 12:01:52.027929,1.531128,0.04999805,0.07655343
29,-22500,-40500,2024-05-13 12:01:52.219113,1.529611,0.04999802,0.07647749
30,-18000,-40500,2024-05-13 12:01:53.194941,1.53117,0.04999799,0.07655541
31,-18000,-40500,2024-05-13 12:01:53.474031,1.53109,0.04999802,0.07655147
32,-18000,-40500,2024-05-13 12:01:53.655879,1.531103,0.04999803,0.07655213
33,-18000,-40500,2024-05-13 12:01:53.837872,1.531097,0.04999804,0.07655183
34,-18000,-40500,2024-05-13 12:01:54.026273,1.531095,0.04999804,0.07655173
35,-18000,-40500,2024-05-13 12:01:54.207950,1.531136,0.04999811,0.07655391
36,-18000,-40500,2024-05-13 12:01:54.397842,1.531128,0.04999805,0.07655343
37,-18000,-40500,2024-05-13 12:01:54.588354,1.531169,0.04999809,0.07655552
38,-18000,-40500,2024-05-13 12:01:54.770583,1.531175,0.04999807,0.07655578
39,-18000,-40500,2024-05-13 12:01:54.960587,1.531199,0.04999811,0.07655703
40,-18000,-40500,2024-05-13 12:01:55.594020,1.530326,0.04999799,0.07651322
41,-18000,-40500,2024-05-13 12:01:55.785491,1.530348,0.04999803,0.07651437
42,-18000,-40500,2024-05-13 12:01:55.966563,1.530348,0.04999805,0.07651442
43,-18000,-40500,2024-05-13 12:01:56.156717,1.530378,0.04999814,0.07651606
44,-18000,-40500,2024-05-13 12:01:56.337995,1.530398,0.04999809,0.076517
45,-18000,-40500,2024-05-13 12:01:56.519205,1.530404,0.04999807,0.07651725
46,-18000,-40500,2024-05-13 12:01:56.708969,1.530421,0.04999805,0.07651809
47,-18000,-40500,2024-05-13 12:01:56.890394,1.530443,0.04999805,0.07651919
48,-18000,-40500,2024-05-13 12:01:57.079707,1.530516,0.0499981,0.0765229
49,-18000,-40500,2024-05-13 12:01:57.262806,1.530469,0.04999805,0.07652046
50,-18000,-40500,2024-05-13 12:01:57.904880,1.529489,0.04999804,0.07647144
51,-18000,-40500,2024-05-13 12:01:58.094880,1.529563,0.04999806,0.07647517
52,-18000,-40500,2024-05-13 12:01:58.277210,1.529532,0.04999805,0.07647362
53,-18000,-40500,2024-05-13 12:01:58.466930,1.529597,0.04999807,0.0764769
54,-18000,-40500,2024-05-13 12:01:58.649456,1.529631,0.04999804,0.07647856
55,-18000,-40500,2024-05-13 12:01:58.840531,1.529611,0.04999802,0.07647749
56,-18000,-40500,2024-05-13 12:01:59.021611,1.529666,0.04999799,0.07648019
57,-18000,-40500,2024-05-13 12:01:59.212030,1.529698,0.04999805,0.07648192
58,-18000,-40500,2024-05-13 12:01:59.393939,1.529665,0.04999809,0.07648035
59,-18000,-40500,2024-05-13 12:01:59.583740,1.529682,0.04999806,0.07648112
60,-13500,-40500,2024-05-13 12:02:00.556863,1.481019,0.04999803,0.07404806
61,-13500,-40500,2024-05-13 12:02:00.747258,1.481088,0.04999807,0.07405155
62,-13500,-40500,2024-05-13 12:02:00.929434,1.481126,0.04999805,0.07405343
63,-13500,-40500,2024-05-13 12:02:01.121206,1.481131,0.04999809,0.07405372
64,-13500,-40500,2024-05-13 12:02:01.302857,1.481112,0.04999803,0.07405267
65,-13500,-40500,2024-05-13 12:02:01.493880,1.481181,0.04999809,0.07405621
66,-13500,-40500,2024-05-13 12:02:01.675956,1.481203,0.0499981,0.07405733
67,-13500,-40500,2024-05-13 12:02:01.865592,1.481244,0.04999814,0.07405944
68,-13500,-40500,2024-05-13 12:02:02.045895,1.481257,0.04999806,0.07406
69,-13500,-40500,2024-05-13 12:02:02.236844,1.481256,0.04999806,0.0740599
70,-13500,-40500,2024-05-13 12:02:02.871861,1.479747,0.04999806,0.07398448
71,-13500,-40500,2024-05-13 12:02:03.061857,1.479759,0.04999807,0.07398508
72,-13500,-40500,2024-05-13 12:02:03.244945,1.479809,0.04999807,0.07398762
73,-13500,-40500,2024-05-13 12:02:03.434827,1.47981,0.04999804,0.07398761
74,-13500,-40500,2024-05-13 12:02:03.616997,1.479871,0.04999816,0.07399081
75,-13500,-40500,2024-05-13 12:02:03.807152,1.479902,0.04999806,0.07399224
76,-13500,-40500,2024-05-13 12:02:03.989513,1.479928,0.04999804,0.07399348
77,-13500,-40500,2024-05-13 12:02:04.179410,1.479967,0.04999814,0.07399561
78,-13500,-40500,2024-05-13 12:02:04.360609,1.479981,0.04999805,0.07399616
79,-13500,-40500,2024-05-13 12:02:04.542635,1.480029,0.04999809,0.07399862
80,-13500,-40500,2024-05-13 12:02:05.187000,1.479666,0.04999807,0.07398046
81,-13500,-40500,2024-05-13 12:02:05.376561,1.479723,0.04999809,0.07398332
82,-13500,-40500,2024-05-13 12:02:05.560973,1.479749,0.04999803,0.07398454
83,-13500,-40500,2024-05-13 12:02:05.750885,1.479849,0.04999805,0.07398954
84,-13500,-40500,2024-05-13 12:02:05.932729,1.479873,0.04999807,0.07399079
85,-13500,-40500,2024-05-13 12:02:06.122978,1.479906,0.04999807,0.07399246
86,-13500,-40500,2024-05-13 12:02:06.304143,1.479938,0.04999808,0.07399408
87,-13500,-40500,2024-05-13 12:02:06.494881,1.479955,0.04999807,0.0739949
88,-13500,-40500,2024-05-13 12:02:06.675837,1.479984,0.04999798,0.07399621
89,-13500,-40500,2024-05-13 12:02:06.866944,1.480003,0.0499981,0.07399737
90,-9000,-40500,2024-05-13 12:02:07.837743,1.439765,0.04999806,0.07198548
91,-9000,-40500,2024-05-13 12:02:08.029112,1.439762,0.04999804,0.07198525
92,-9000,-40500,2024-05-13 12:02:08.211174,1.439777,0.0499981,0.07198611
93,-9000,-40500,2024-05-13 12:02:08.401621,1.439799,0.04999807,0.07198719
94,-9000,-40500,2024-05-13 12:02:08.583027,1.439811,0.04999806,0.07198775
95,-9000,-40500,2024-05-13 12:02:08.772160,1.439842,0.04999811,0.07198936
96,-9000,-40500,2024-05-13 12:02:08.953880,1.439822,0.04999809,0.07198834
97,-9000,-40500,2024-05-13 12:02:09.144888,1.43982,0.04999818,0.07198837
98,-9000,-40500,2024-05-13 12:02:09.326005,1.439858,0.04999807,0.07199012
99,-9000,-40500,2024-05-13 12:02:09.507710,1.439882,0.0499981,0.07199138
100,-9000,-40500,2024-05-13 12:02:10.155906,1.44039,0.04999803,0.07201667
101,-9000,-40500,2024-05-13 12:02:10.346058,1.440396,0.04999806,0.07201703
102,-9000,-40500,2024-05-13 12:02:10.528136,1.44052,0.04999806,0.07202319
103,-9000,-40500,2024-05-13 12:02:10.718571,1.440504,0.04999816,0.07202253
104,-9000,-40500,2024-05-13 12:02:10.899628,1.440506,0.04999805,0.07202248
105,-9000,-40500,2024-05-13 12:02:11.089926,1.440496,0.04999802,0.07202197
106,-9000,-40500,2024-05-13 12:02:11.271812,1.440539,0.04999805,0.07202415
107,-9000,-40500,2024-05-13 12:02:11.462026,1.440474,0.04999803,0.07202087
108,-9000,-40500,2024-05-13 12:02:11.643835,1.440494,0.04999807,0.07202192
109,-9000,-40500,2024-05-13 12:02:11.834224,1.440555,0.04999804,0.07202492
110,-9000,-40500,2024-05-13 12:02:12.468348,1.437885,0.04999809,0.07189149
111,-9000,-40500,2024-05-13 12:02:12.658917,1.437869,0.04999805,0.07189063
112,-9000,-40500,2024-05-13 12:02:12.841405,1.437876,0.04999811,0.07189105
113,-9000,-40500,2024-05-13 12:02:13.030846,1.437931,0.04999805,0.07189377
114,-9000,-40500,2024-05-13 12:02:13.211967,1.437932,0.04999809,0.07189383
115,-9000,-40500,2024-05-13 12:02:13.402856,1.437952,0.04999809,0.07189486
116,-9000,-40500,2024-05-13 12:02:13.584879,1.437953,0.04999803,0.07189482
117,-9000,-40500,2024-05-13 12:02:13.775931,1.437967,0.04999818,0.0718957
118,-9000,-40500,2024-05-13 12:02:13.957087,1.437997,0.04999805,0.07189703
119,-9000,-40500,2024-05-13 12:02:14.148104,1.437973,0.04999812,0.07189595
