,x,y,time,R,I,V
0,-22500,-40500,2024-05-13 13:22:35.045727,0.6900893,0.04999829,0.03450328
1,-22500,-40500,2024-05-13 13:22:35.236732,0.6900356,0.04999826,0.03450058
2,-22500,-40500,2024-05-13 13:22:35.419121,0.6895686,0.04999823,0.03447721
3,-22500,-40500,2024-05-13 13:22:35.609297,0.6895686,0.04999823,0.03447721
4,-22500,-40500,2024-05-13 13:22:35.791257,0.6900228,0.0499982,0.03449989
5,-22500,-40500,2024-05-13 13:22:35.981858,0.6895686,0.04999823,0.03447721
6,-22500,-40500,2024-05-13 13:22:36.162848,0.6895137,0.04999818,0.03447443
7,-22500,-40500,2024-05-13 13:22:36.353864,0.6894962,0.04999823,0.03447359
8,-22500,-40500,2024-05-13 13:22:36.536306,0.689599,0.04999822,0.03447872
9,-22500,-40500,2024-05-13 13:22:36.727624,0.6900513,0.04999823,0.03450134
10,-22500,-40500,2024-05-13 13:22:37.336868,0.6898478,0.04999821,0.03449116
11,-22500,-40500,2024-05-13 13:22:37.526878,0.6901117,0.04999822,0.03450435
12,-22500,-40500,2024-05-13 13:22:37.708432,0.6901117,0.04999822,0.03450435
13,-22500,-40500,2024-05-13 13:22:37.899014,0.6895686,0.04999823,0.03447721
14,-22500,-40500,2024-05-13 13:22:38.081272,0.6896171,0.04999823,0.03447964
15,-22500,-40500,2024-05-13 13:22:38.271543,0.68955,0.04999822,0.03447627
16,-22500,-40500,2024-05-13 13:22:38.452875,0.6900212,0.0499982,0.03449982
17,-22500,-40500,2024-05-13 13:22:38.642857,0.6900228,0.0499982,0.03449989
18,-22500,-40500,2024-05-13 13:22:38.824881,0.6895137,0.04999818,0.03447443
19,-22500,-40500,2024-05-13 13:22:39.015868,0.6896171,0.04999823,0.03447964
20,-22500,-40500,2024-05-13 13:22:39.629917,0.68955,0.04999822,0.03447627
21,-22500,-40500,2024-05-13 13:22:39.819817,0.6900212,0.0499982,0.03449982
22,-22500,-40500,2024-05-13 13:22:40.005867,0.689599,0.04999822,0.03447872
23,-22500,-40500,2024-05-13 13:22:40.195944,0.6898478,0.04999821,0.03449116
24,-22500,-40500,2024-05-13 13:22:40.377993,0.6900356,0.04999826,0.03450058
25,-22500,-40500,2024-05-13 13:22:40.568307,0.6895686,0.04999823,0.03447721
26,-22500,-40500,2024-05-13 13:22:40.749227,0.6895137,0.04999818,0.03447443
27,-22500,-40500,2024-05-13 13:22:40.940256,0.6894962,0.04999823,0.03447359
28,-22500,-40500,2024-05-13 13:22:41.123855,0.6895686,0.04999823,0.03447721
29,-22500,-40500,2024-05-13 13:22:41.314872,0.6900893,0.04999829,0.03450328
30,-18000,-40500,2024-05-13 13:22:42.268447,0.6900086,0.04999815,0.03449915
31,-18000,-40500,2024-05-13 13:22:42.547089,0.6900212,0.0499982,0.03449982
32,-18000,-40500,2024-05-13 13:22:42.728893,0.6900591,0.04999828,0.03450176
33,-18000,-40500,2024-05-13 13:22:42.919016,0.6900513,0.04999823,0.03450134
34,-18000,-40500,2024-05-13 13:22:43.100797,0.6900176,0.04999821,0.03449965
35,-18000,-40500,2024-05-13 13:22:43.292154,0.6900228,0.0499982,0.03449989
36,-18000,-40500,2024-05-13 13:22:43.473889,0.6900356,0.04999826,0.03450058
37,-18000,-40500,2024-05-13 13:22:43.664887,0.6900631,0.04999821,0.03450192
38,-18000,-40500,2024-05-13 13:22:43.846986,0.6901117,0.04999822,0.03450435
39,-18000,-40500,2024-05-13 13:22:44.037342,0.6900893,0.04999829,0.03450328
40,-18000,-40500,2024-05-13 13:22:44.657054,0.6898183,0.04999816,0.03448965
41,-18000,-40500,2024-05-13 13:22:44.847895,0.6897925,0.04999819,0.03448838
42,-18000,-40500,2024-05-13 13:22:45.030052,0.6898105,0.04999827,0.03448933
43,-18000,-40500,2024-05-13 13:22:45.220257,0.6898085,0.04999826,0.03448923
44,-18000,-40500,2024-05-13 13:22:45.401929,0.6897934,0.04999826,0.03448847
45,-18000,-40500,2024-05-13 13:22:45.600497,0.6898009,0.04999821,0.03448881
46,-18000,-40500,2024-05-13 13:22:45.781647,0.6898478,0.04999821,0.03449116
47,-18000,-40500,2024-05-13 13:22:45.972853,0.6898426,0.04999825,0.03449093
48,-18000,-40500,2024-05-13 13:22:46.153881,0.6899095,0.04999814,0.03449419
49,-18000,-40500,2024-05-13 13:22:46.345305,0.6898776,0.04999825,0.03449268
50,-18000,-40500,2024-05-13 13:22:46.965794,0.6895154,0.04999818,0.03447451
51,-18000,-40500,2024-05-13 13:22:47.156819,0.6895137,0.04999818,0.03447443
52,-18000,-40500,2024-05-13 13:22:47.338810,0.6894909,0.04999823,0.03447332
53,-18000,-40500,2024-05-13 13:22:47.528918,0.6894962,0.04999823,0.03447359
54,-18000,-40500,2024-05-13 13:22:47.711173,0.6895248,0.04999823,0.03447502
55,-18000,-40500,2024-05-13 13:22:47.901804,0.6895431,0.04999825,0.03447594
56,-18000,-40500,2024-05-13 13:22:48.083882,0.689599,0.04999822,0.03447872
57,-18000,-40500,2024-05-13 13:22:48.274991,0.6895686,0.04999823,0.03447721
58,-18000,-40500,2024-05-13 13:22:48.456329,0.6896171,0.04999823,0.03447964
59,-18000,-40500,2024-05-13 13:22:48.646834,0.68955,0.04999822,0.03447627
60,-13500,-40500,2024-05-13 13:22:49.597891,0.720778,0.04999819,0.0360376
61,-13500,-40500,2024-05-13 13:22:49.788708,0.7207347,0.04999818,0.03603542
62,-13500,-40500,2024-05-13 13:22:49.970830,0.7207696,0.04999821,0.03603719
63,-13500,-40500,2024-05-13 13:22:50.152061,0.7207966,0.04999819,0.03603853
