Index,Ag,Au
1,61.69,38.31
2,57.5,42.5
3,53.15,46.85
4,48.73,51.27
5,43.44,56.56
6,39.77,60.23
7,34.95,65.05
8,31.78,68.22
9,28.96,71.04
10,25.05,74.95
11,21.95,78.05
12,66.76,33.24
13,62.68,37.32
14,58.48,41.52
15,54.07,45.93
16,49.91,50.09
17,45.8,54.2
18,40.73,59.27
19,36.48,63.52
20,32.17,67.83
21,29.09,70.91
22,25.84,74.16
23,22.83,77.17
24,19.54,80.46
25,71.08,28.92
26,68.06,31.94
27,63.95,36.05
28,59.51,40.49
29,55.4,44.6
30,50.88,49.12
31,46.47,53.53
32,41.64,58.36
33,37.32,62.68
34,33.64,66.36
35,29.72,70.28
36,26.01,73.99
37,23.21,76.79
38,20.86,79.14
39,18.51,81.49
40,75.57,24.43
41,72.39,27.61
42,69.06,30.94
43,65.5,34.5
44,60.69,39.31
45,56.53,43.47
46,51.33,48.67
47,47.34,52.66
48,43.43,56.57
49,38.97,61.03
50,33.83,66.17
51,30.76,69.24
52,27.63,72.37
53,23.89,76.11
54,21.34,78.66
55,18.14,81.86
56,16.65,83.35
57,79.08,20.92
58,76.57,23.43
59,72.98,27.02
60,69.95,30.05
61,65.98,34.02
62,62.11,37.89
63,57.15,42.85
64,53.14,46.86
65,49.16,50.84
66,44.44,55.56
67,39.23,60.77
68,35.38,64.62
69,32.05,67.95
70,27.69,72.31
71,25.39,74.61
72,21.94,78.06
73,19.49,80.51
74,17.64,82.36
75,15.33,84.67
76,80.18,19.82
77,77.06,22.94
78,74.15,25.85
79,70.64,29.36
80,67.08,32.92
81,62.7,37.3
82,59.07,40.93
83,54.14,45.86
84,49.89,50.11
85,45.46,54.54
86,40.48,59.52
87,36.73,63.27
88,32.38,67.62
89,29.29,70.71
90,25.28,74.72
91,23.03,76.97
92,20.29,79.71
93,17.86,82.14
94,16.23,83.77
95,82.84,17.16
96,80.65,19.35
97,78.04,21.96
98,74.96,25.04
99,71.46,28.54
100,68.47,31.53
101,64.03,35.97
102,60.31,39.69
103,55.6,44.4
104,51.04,48.96
105,46.39,53.61
106,41.73,58.27
107,37.91,62.09
108,33.85,66.15
109,30.12,69.88
110,27.32,72.68
111,23.57,76.43
112,21.57,78.43
113,19.08,80.92
114,16.06,83.94
115,14.77,85.23
116,83.66,16.34
117,81.2,18.8
118,79.01,20.99
119,76.18,23.82
120,72.38,27.62
121,68.88,31.12
122,65.06,34.94
123,61.26,38.74
124,56.35,43.65
125,51.75,48.25
126,47.92,52.08
127,43.08,56.92
128,38.59,61.41
129,34.65,65.35
130,31.47,68.53
131,27.79,72.21
132,23.89,76.11
