,x,y,time,R,I,V
0,-22500,-40500,2024-05-29 14:09:25.732308,0.1419313,0.04999789,0.007096266
1,-22500,-40500,2024-05-29 14:09:25.922535,0.1420742,0.04999793,0.007103415
2,-22500,-40500,2024-05-29 14:09:26.104781,0.142108,0.04999787,0.007105096
3,-22500,-40500,2024-05-29 14:09:26.295242,0.1421078,0.04999793,0.007105097
4,-22500,-40500,2024-05-29 14:09:26.477095,0.1420692,0.04999792,0.007103163
5,-22500,-40500,2024-05-29 14:09:26.666933,0.1421078,0.04999793,0.007105097
6,-22500,-40500,2024-05-29 14:09:26.849537,0.1419263,0.04999788,0.007096016
7,-22500,-40500,2024-05-29 14:09:27.040145,0.142108,0.04999787,0.007105096
8,-22500,-40500,2024-05-29 14:09:27.222779,0.142118,0.04999789,0.0071056
9,-22500,-40500,2024-05-29 14:09:27.413333,0.1437459,0.04999791,0.007186995
10,-22500,-40500,2024-05-29 14:09:28.034826,0.1421213,0.04999791,0.007105768
11,-22500,-40500,2024-05-29 14:09:28.225951,0.1419716,0.04999792,0.007098286
12,-22500,-40500,2024-05-29 14:09:28.412679,0.1419732,0.04999794,0.007098368
13,-22500,-40500,2024-05-29 14:09:28.603819,0.1420961,0.0499979,0.007104508
14,-22500,-40500,2024-05-29 14:09:28.786788,0.1421315,0.04999788,0.007106274
15,-22500,-40500,2024-05-29 14:09:28.976817,0.1421146,0.04999792,0.007105434
16,-22500,-40500,2024-05-29 14:09:29.159780,0.1421078,0.04999793,0.007105097
17,-22500,-40500,2024-05-29 14:09:29.350333,0.1420557,0.04999793,0.00710249
18,-22500,-40500,2024-05-29 14:09:29.532034,0.1419497,0.04999794,0.007097193
19,-22500,-40500,2024-05-29 14:09:29.723796,0.1419313,0.04999789,0.007096266
20,-22500,-40500,2024-05-29 14:09:30.345414,0.1421213,0.04999791,0.007105768
21,-22500,-40500,2024-05-29 14:09:30.536130,0.1420692,0.04999792,0.007103163
22,-22500,-40500,2024-05-29 14:09:30.719762,0.1419716,0.04999792,0.007098286
23,-22500,-40500,2024-05-29 14:09:30.910277,0.1421078,0.04999793,0.007105097
24,-22500,-40500,2024-05-29 14:09:31.092621,0.142118,0.04999789,0.0071056
25,-22500,-40500,2024-05-29 14:09:31.284017,0.1419497,0.04999794,0.007097193
26,-22500,-40500,2024-05-29 14:09:31.466160,0.1421315,0.04999788,0.007106274
27,-22500,-40500,2024-05-29 14:09:31.657160,0.1437459,0.04999791,0.007186995
28,-22500,-40500,2024-05-29 14:09:31.841013,0.1419263,0.04999788,0.007096016
29,-22500,-40500,2024-05-29 14:09:32.032071,0.1419263,0.04999788,0.007096016
30,-18000,-40500,2024-05-29 14:09:32.996864,0.1421164,0.04999786,0.007105518
31,-18000,-40500,2024-05-29 14:09:33.276132,0.1420877,0.0499979,0.007104087
32,-18000,-40500,2024-05-29 14:09:33.459364,0.1421298,0.04999791,0.007106191
33,-18000,-40500,2024-05-29 14:09:33.649648,0.1421112,0.04999793,0.007105266
